pH,EC,TDS,TH,Alkalinity,Ca,Mg,Na,K,Iron,HCO3,Cl,SO4,NO3,F,DO,Sl_No,Sites,Areas,Location_ID,Latitude,Longitude,Season,Data_Type
7.27,455.37,291.56,49.48,121.9,34.29,8.88,27.22,9.32,0.248,101.29,52.37,24.57,22.07,0.062,7.03,11,"Dumping 
Yard",Bhuasuni Temple Area (Syn),SYN-DY-1,20.394379954281913,85.7940839080016,Premonsoon,Synthetic_Clean
6.06,399.09,255.1,37.44,108.2,33.12,6.1,33.82,5.49,0.237,79.97,57.92,4.57,34.2,0.071,4.97,12,"Dumping 
Yard",Lingaraj Railway Station (Syn),SYN-DY-2,20.229882974548854,85.83762465318301,Premonsoon,Synthetic_Clean
5.61,387.84,248.0,12.89,109.59,32.89,6.69,23.41,5.66,0.322,107.01,36.45,12.38,16.3,0.054,6.23,13,"Dumping 
Yard","BMC Micro 
Composting (Syn)",SYN-DY-3,20.282453657159593,85.83338551084088,Premonsoon,Synthetic_Clean
7.47,371.03,237.65,62.82,105.69,32.9,5.61,28.4,6.97,0.14,46.87,64.96,14.18,27.63,0.06,5.6,14,"Dumping 
Yard",Gadakan Road (Syn),SYN-DY-4,20.317361225488053,85.83016858699033,Premonsoon,Synthetic_Clean
6.6,428.03,273.79,34.61,116.21,34.63,7.27,28.41,7.87,0.372,84.99,54.56,25.7,24.11,0.072,5.9,15,"Dumping 
Yard",Daruthenga (Syn),SYN-DY-5,20.37793676162762,85.79932220015718,Premonsoon,Synthetic_Clean
6.19,444.75,284.77,31.74,114.45,33.89,7.26,31.72,5.48,0.287,109.32,54.07,16.48,21.96,0.083,6.69,16,Synthetic Zone,Synthetic Area 1,SYN-X1,20.266611780663144,85.81380625945624,Premonsoon,Synthetic_Clean
5.6,326.45,208.9,14.7,103.38,32.66,5.21,21.09,4.56,0.233,91.69,34.28,9.63,11.14,0.032,5.96,17,Synthetic Zone,Synthetic Area 2,SYN-X2,20.357865220375906,85.78411659498823,Premonsoon,Synthetic_Clean
5.36,335.08,214.24,8.16,105.67,32.62,5.81,23.82,4.69,0.232,73.32,34.17,7.16,24.43,0.05,5.57,18,Synthetic Zone,Synthetic Area 3,SYN-X3,20.317104972155192,85.85158077157242,Premonsoon,Synthetic_Clean
5.7,384.99,246.27,13.55,110.55,33.5,6.58,21.71,6.17,0.312,94.76,37.56,16.57,19.49,0.053,6.22,19,Synthetic Zone,Synthetic Area 4,SYN-X4,20.359715664085343,85.8476061972867,Premonsoon,Synthetic_Clean
7.13,400.46,256.22,39.1,116.06,33.64,7.83,23.67,6.75,0.224,98.77,41.61,19.48,13.57,0.078,6.36,20,Synthetic Zone,Synthetic Area 5,SYN-X5,20.337519088197773,85.8555773423529,Premonsoon,Synthetic_Clean
5.29,395.7,253.03,20.13,107.74,33.1,6.07,32.84,4.45,0.276,82.85,52.88,4.02,29.16,0.031,5.98,21,Synthetic Zone,Synthetic Area 6,SYN-X6,20.310082655431085,85.8535129865951,Premonsoon,Synthetic_Clean
6.17,447.37,286.38,28.49,117.75,33.4,8.36,28.4,7.58,0.302,108.71,48.83,22.49,20.92,0.048,6.92,22,Synthetic Zone,Synthetic Area 7,SYN-X7,20.266258973807876,85.865384638871,Premonsoon,Synthetic_Clean
5.93,352.04,225.35,16.83,109.86,32.48,7.0,21.33,5.09,0.219,82.04,32.34,16.36,15.4,0.06,6.43,23,Synthetic Zone,Synthetic Area 8,SYN-X8,20.30979318428505,85.8282665521199,Premonsoon,Synthetic_Clean
6.55,395.22,252.42,20.27,111.14,33.36,6.82,20.83,7.52,0.244,101.44,34.09,10.36,24.98,0.091,6.06,24,Synthetic Zone,Synthetic Area 9,SYN-X9,20.29095075822482,85.84718161661736,Premonsoon,Synthetic_Clean
6.33,442.47,282.66,36.88,115.62,33.12,7.99,32.64,7.34,0.226,107.3,53.12,10.51,31.2,0.066,4.86,25,Synthetic Zone,Synthetic Area 10,SYN-X10,20.273126113980858,85.86019211358801,Premonsoon,Synthetic_Clean
6.13,491.04,313.93,27.57,121.82,34.8,8.57,32.32,8.37,0.369,121.38,55.17,23.08,31.31,0.057,5.63,26,Synthetic Zone,Synthetic Area 11,SYN-X11,20.348274216233964,85.7945345449578,Premonsoon,Synthetic_Clean
6.59,310.51,198.89,32.3,104.67,32.19,5.94,10.68,6.08,0.069,80.26,27.62,10.2,11.48,0.09,5.87,27,Synthetic Zone,Synthetic Area 12,SYN-X12,20.346394973161857,85.85156430663947,Premonsoon,Synthetic_Clean
7.33,413.51,264.85,50.86,117.93,33.2,8.48,29.57,6.53,0.179,98.4,46.28,18.86,19.09,0.082,7.05,28,Synthetic Zone,Synthetic Area 13,SYN-X13,20.328684193108725,85.8102805510233,Premonsoon,Synthetic_Clean
5.46,429.12,274.65,16.52,112.5,33.58,6.94,27.7,6.85,0.307,114.13,46.19,13.52,24.26,0.046,6.47,29,Synthetic Zone,Synthetic Area 14,SYN-X14,20.29261240875152,85.79610689236226,Premonsoon,Synthetic_Clean
6.5,406.05,259.54,29.22,110.5,31.98,7.35,28.84,6.37,0.241,102.46,45.05,13.94,18.24,0.029,5.88,30,Synthetic Zone,Synthetic Area 15,SYN-X15,20.29732342960969,85.86328437767658,Premonsoon,Synthetic_Clean
4.57,408.97,261.58,2.0,114.18,34.0,7.13,32.32,4.25,0.405,97.06,40.3,12.66,32.33,0.043,5.92,31,Synthetic Zone,Synthetic Area 16,SYN-X16,20.27322661093221,85.85581566095863,Premonsoon,Synthetic_Clean
5.6,460.42,294.66,19.85,122.3,35.15,8.49,26.19,9.84,0.371,102.2,47.95,27.22,37.8,0.049,5.42,32,Synthetic Zone,Synthetic Area 17,SYN-X17,20.300351540837514,85.82508847293447,Premonsoon,Synthetic_Clean
4.95,413.98,264.81,13.37,115.66,32.9,8.17,29.27,6.95,0.33,104.98,40.02,10.18,29.17,0.05,5.94,33,Synthetic Zone,Synthetic Area 18,SYN-X18,20.34491109669818,85.86136618803562,Premonsoon,Synthetic_Clean
6.19,384.99,246.48,20.11,117.38,33.06,8.44,24.01,6.74,0.298,101.62,31.35,21.58,11.1,0.048,7.05,34,Synthetic Zone,Synthetic Area 19,SYN-X19,20.299940675340597,85.81911288146084,Premonsoon,Synthetic_Clean
6.99,540.62,345.7,38.22,129.73,35.4,10.14,37.27,8.99,0.42,136.99,56.77,26.18,32.28,0.079,6.6,35,Synthetic Zone,Synthetic Area 20,SYN-X20,20.30691413981501,85.77425363668371,Premonsoon,Synthetic_Clean
7.24,382.93,245.25,51.5,112.32,32.67,7.4,28.41,7.48,0.217,70.94,51.21,21.01,22.01,0.059,6.0,36,Synthetic Zone,Synthetic Area 21,SYN-X21,20.2950568222192,85.81884745670658,Premonsoon,Synthetic_Clean
4.89,388.45,248.51,15.48,110.92,33.84,6.45,29.53,5.84,0.273,73.96,48.81,7.18,36.52,0.033,5.44,37,Synthetic Zone,Synthetic Area 22,SYN-X22,20.306571894221374,85.8451214560849,Premonsoon,Synthetic_Clean
6.7,372.16,238.34,34.23,112.19,33.38,7.02,24.88,5.65,0.239,88.49,40.59,17.37,10.42,0.071,7.13,38,Synthetic Zone,Synthetic Area 23,SYN-X23,20.303942895055442,85.8218661782304,Premonsoon,Synthetic_Clean
7.67,502.43,321.28,54.43,123.61,34.13,9.36,38.26,8.56,0.323,100.03,64.5,23.48,29.9,0.059,6.84,39,Synthetic Zone,Synthetic Area 24,SYN-X24,20.30842339254657,85.84699114822276,Premonsoon,Synthetic_Clean
4.36,309.93,198.57,2.0,104.69,33.09,5.39,16.01,5.21,0.192,74.3,29.25,9.34,21.42,0.037,5.6,40,Synthetic Zone,Synthetic Area 25,SYN-X25,20.35175977323203,85.82611744123408,Premonsoon,Synthetic_Clean
6.52,420.19,268.86,36.1,118.08,34.51,7.74,31.84,7.02,0.37,74.75,55.66,28.39,28.04,0.05,5.16,41,Synthetic Zone,Synthetic Area 26,SYN-X26,20.344405752752852,85.80260720153531,Premonsoon,Synthetic_Clean
5.85,399.56,255.7,24.85,112.8,32.89,7.5,27.52,6.36,0.311,94.13,43.81,16.71,19.09,0.033,6.61,42,Synthetic Zone,Synthetic Area 27,SYN-X27,20.31959949434906,85.80745152870033,Premonsoon,Synthetic_Clean
4.65,422.1,270.19,5.35,114.42,34.95,6.75,24.1,7.63,0.401,91.62,46.22,19.38,31.18,0.031,6.19,43,Synthetic Zone,Synthetic Area 28,SYN-X28,20.306882625890516,85.84616991981459,Premonsoon,Synthetic_Clean
5.6,360.46,230.6,19.1,103.38,33.12,5.02,24.1,5.52,0.259,78.57,45.87,8.12,21.28,0.043,6.25,44,Synthetic Zone,Synthetic Area 29,SYN-X29,20.353628781566602,85.7850780724421,Premonsoon,Synthetic_Clean
4.99,490.63,313.74,22.59,113.39,34.57,6.64,35.77,7.92,0.428,101.17,70.93,15.75,41.71,0.037,4.87,45,Synthetic Zone,Synthetic Area 30,SYN-X30,20.32892645898207,85.8311429140911,Premonsoon,Synthetic_Clean
4.29,383.46,245.24,2.0,111.42,33.4,6.82,24.7,6.32,0.34,103.14,31.72,6.85,30.01,0.016,5.93,46,Synthetic Zone,Synthetic Area 31,SYN-X31,20.277304037250925,85.79411796637734,Premonsoon,Synthetic_Clean
7.02,384.04,245.93,46.09,107.9,32.69,6.3,29.48,4.58,0.25,90.0,53.84,13.64,6.38,0.07,7.33,47,Synthetic Zone,Synthetic Area 32,SYN-X32,20.2965627828066,85.78962164041508,Premonsoon,Synthetic_Clean
5.88,456.31,291.46,32.15,113.32,34.51,6.55,36.56,7.68,0.331,93.0,64.44,8.42,44.73,0.06,4.16,48,Synthetic Zone,Synthetic Area 33,SYN-X33,20.289835481585765,85.7996886132195,Premonsoon,Synthetic_Clean
7.58,436.46,279.34,51.37,114.98,33.37,7.66,28.44,8.82,0.272,82.71,56.93,24.72,25.74,0.073,6.46,49,Synthetic Zone,Synthetic Area 34,SYN-X34,20.299029916637238,85.84786757861345,Premonsoon,Synthetic_Clean
6.59,367.77,235.65,39.25,109.66,32.67,6.77,28.34,5.18,0.211,78.6,45.56,12.16,14.34,0.056,7.6,50,Synthetic Zone,Synthetic Area 35,SYN-X35,20.32265375371839,85.87155320052847,Premonsoon,Synthetic_Clean
7.3,741.16,482.28,238.76,70.14,64.6,16.57,47.51,14.46,0.253,159.3,123.3,16.4,0.5,0.083,4.26,1,Population Density,Acharya Vihar (Syn),SYN-PD-1,20.297712162575618,85.83318664419868,Monsoon,Synthetic_Clean
6.34,635.43,414.36,211.88,86.17,67.36,9.92,33.81,5.93,0.372,150.9,101.12,19.44,3.66,0.077,3.44,2,Population Density,Ram Mandir (Syn),SYN-PD-2,20.286317381420886,85.84111593845597,Monsoon,Synthetic_Clean
5.7,616.57,402.99,105.87,51.96,55.83,6.65,35.56,4.29,0.369,150.89,92.63,6.48,54.46,0.093,2.0,3,Population Density,Sailashree Vihar (Syn),SYN-PD-3,20.339882474222343,85.80561928569384,Monsoon,Synthetic_Clean
4.99,645.22,419.29,191.13,10.0,54.15,9.02,74.62,11.46,0.034,152.83,24.75,30.01,67.92,0.146,4.46,4,Population Density,OMFED Square (Syn),SYN-PD-4,20.32916305375957,85.82573244856897,Monsoon,Synthetic_Clean
5.5,622.21,402.66,61.4,111.97,40.49,5.0,75.53,1.4,0.195,155.14,65.32,7.82,57.94,0.01,3.99,5,Population Density,Old Town Bhubaneswar (Syn),SYN-PD-5,20.22808527022596,85.82447517112158,Monsoon,Synthetic_Clean
6.23,611.99,394.04,116.74,112.21,45.34,7.58,44.02,10.26,0.498,71.27,173.74,25.09,16.5,0.063,5.34,6,Industrial areas,Mancheswar Industrial Estate (Syn),SYN-IA-1,20.31347669925022,85.8595330284077,Monsoon,Synthetic_Clean
7.33,670.09,435.14,143.07,139.93,48.52,11.0,47.3,27.69,0.495,172.15,69.95,14.43,8.92,0.137,3.44,7,Industrial areas,Chandaka Industrial Estate (Syn),SYN-IA-2,20.341302821893862,85.81629572233966,Monsoon,Synthetic_Clean
6.18,616.12,400.14,110.4,53.0,42.85,10.69,55.87,14.23,0.12,214.51,16.86,11.88,25.53,0.118,6.29,8,Industrial areas,OMFED Industries (Syn),SYN-IA-3,20.3327092670848,85.82728640673366,Monsoon,Synthetic_Clean
5.58,719.78,467.13,155.5,111.41,63.77,10.42,71.49,7.52,0.329,162.96,103.47,29.87,0.5,0.031,4.66,9,Industrial areas,Rasulgarh (Syn),SYN-IA-4,20.303138034759122,85.86789007895857,Monsoon,Synthetic_Clean
5.78,640.51,415.35,46.05,112.31,43.52,9.56,57.24,21.21,0.504,147.52,78.36,22.37,1.76,0.202,5.21,10,Industrial areas,Anmol Industries Dabua (Syn),SYN-IA-5,20.372215391640644,85.74427994157199,Monsoon,Synthetic_Clean
7.12,594.58,387.72,137.04,60.61,35.2,10.77,37.36,31.26,0.349,200.75,6.77,6.43,50.22,0.17,5.07,11,"Dumping 
Yard",Bhuasuni Temple Area (Syn),SYN-DY-1,20.38080291416939,85.78558043273908,Monsoon,Synthetic_Clean
6.14,646.44,420.27,152.77,47.9,55.73,10.61,42.46,12.55,0.255,143.51,77.95,17.68,32.13,0.155,4.74,12,"Dumping 
Yard",Lingaraj Railway Station (Syn),SYN-DY-2,20.239664421412087,85.838731917455,Monsoon,Synthetic_Clean
5.65,672.99,437.62,172.28,81.25,55.57,9.36,54.16,8.15,0.238,175.68,81.58,16.61,28.71,0.043,4.42,13,"Dumping 
Yard","BMC Micro 
Composting (Syn)",SYN-DY-3,20.292142177204195,85.83865254905768,Monsoon,Synthetic_Clean
6.13,520.08,339.28,87.01,135.03,46.8,6.61,30.77,9.38,0.474,149.8,72.43,11.34,0.5,0.024,5.56,14,"Dumping 
Yard",Gadakan Road (Syn),SYN-DY-4,20.326962109751292,85.84580463584926,Monsoon,Synthetic_Clean
5.19,628.13,410.25,106.9,11.87,44.25,10.73,53.71,18.77,0.479,42.02,143.0,27.38,61.67,0.124,4.4,15,"Dumping 
Yard",Daruthenga (Syn),SYN-DY-5,20.377638159123386,85.8017268331957,Monsoon,Synthetic_Clean
5.53,677.32,438.16,213.51,101.68,55.67,9.25,63.17,15.43,0.353,66.16,139.24,34.55,31.4,0.096,3.27,16,Synthetic Zone,Synthetic Area 1,SYN-X1,20.308141570552724,85.8378020472209,Monsoon,Synthetic_Clean
5.12,545.26,356.4,150.98,97.44,54.07,5.96,28.12,10.28,0.563,47.92,136.97,25.59,21.26,0.046,3.76,17,Synthetic Zone,Synthetic Area 2,SYN-X2,20.338189380378576,85.83630394205235,Monsoon,Synthetic_Clean
6.13,765.33,499.82,310.9,99.3,71.19,12.51,57.08,18.44,0.29,202.27,75.11,24.72,22.2,0.01,2.47,18,Synthetic Zone,Synthetic Area 3,SYN-X3,20.27951326364419,85.81722363440812,Monsoon,Synthetic_Clean
5.74,662.82,431.91,170.92,85.36,53.46,10.45,62.06,15.63,0.371,133.48,84.59,24.43,28.58,0.117,3.68,19,Synthetic Zone,Synthetic Area 4,SYN-X4,20.321606371126645,85.85783290925119,Monsoon,Synthetic_Clean
7.11,569.76,369.11,128.05,90.18,27.27,11.1,54.68,25.64,0.199,166.74,6.61,4.99,43.12,0.186,4.43,20,Synthetic Zone,Synthetic Area 5,SYN-X5,20.309827108213188,85.86480326381376,Monsoon,Synthetic_Clean
5.95,657.82,427.97,221.99,24.89,58.93,12.03,53.94,5.3,0.323,50.52,146.67,24.06,60.33,0.129,2.0,21,Synthetic Zone,Synthetic Area 6,SYN-X6,20.309499955635854,85.82780651925962,Monsoon,Synthetic_Clean
5.54,724.33,468.53,160.71,58.65,48.08,14.5,75.92,11.44,0.216,201.87,65.38,28.11,14.32,0.125,6.64,22,Synthetic Zone,Synthetic Area 7,SYN-X7,20.345091101627613,85.83123530177554,Monsoon,Synthetic_Clean
5.44,748.81,486.74,226.01,96.23,58.81,10.07,66.16,20.87,0.291,160.0,93.04,26.98,41.64,0.097,2.46,23,Synthetic Zone,Synthetic Area 8,SYN-X8,20.361484340571614,85.83896211638474,Monsoon,Synthetic_Clean
5.32,638.17,414.92,107.85,54.94,41.27,10.14,77.58,15.38,0.282,52.0,109.14,25.1,55.01,0.114,5.35,24,Synthetic Zone,Synthetic Area 9,SYN-X9,20.31773347874009,85.7752877301114,Monsoon,Synthetic_Clean
5.8,590.19,382.31,176.65,104.71,34.23,8.84,58.16,23.13,0.312,189.8,8.0,20.81,38.8,0.13,4.91,25,Synthetic Zone,Synthetic Area 10,SYN-X10,20.306835823091365,85.80285337525935,Monsoon,Synthetic_Clean
4.96,581.01,377.68,178.63,58.03,42.98,9.22,58.95,20.34,0.329,106.94,60.31,35.3,33.57,0.166,5.74,26,Synthetic Zone,Synthetic Area 11,SYN-X11,20.34027310012208,85.79375630084868,Monsoon,Synthetic_Clean
5.81,676.35,438.32,199.75,75.17,46.87,12.7,66.79,21.92,0.187,185.46,26.54,26.34,24.15,0.196,5.08,27,Synthetic Zone,Synthetic Area 12,SYN-X12,20.28598454206274,85.79188043765706,Monsoon,Synthetic_Clean
6.88,652.18,425.41,163.94,49.75,57.05,12.02,29.05,15.51,0.411,164.23,78.18,10.62,33.97,0.123,3.31,28,Synthetic Zone,Synthetic Area 13,SYN-X13,20.278024094648956,85.80402923370042,Monsoon,Synthetic_Clean
5.58,595.7,386.71,82.87,78.09,47.85,7.02,57.81,6.26,0.437,76.65,133.3,23.4,36.42,0.083,3.6,29,Synthetic Zone,Synthetic Area 14,SYN-X14,20.354054744777674,85.85042138056392,Monsoon,Synthetic_Clean
5.45,585.54,379.17,87.74,85.78,36.73,7.09,63.88,16.24,0.271,145.74,45.93,19.67,40.16,0.159,4.86,30,Synthetic Zone,Synthetic Area 15,SYN-X15,20.33898765496401,85.85266221389833,Monsoon,Synthetic_Clean
5.22,652.35,426.02,99.26,59.61,56.91,9.87,50.44,6.14,0.379,179.25,76.34,17.91,17.58,0.108,3.78,31,Synthetic Zone,Synthetic Area 16,SYN-X16,20.29240432226629,85.86167270240857,Monsoon,Synthetic_Clean
5.63,531.93,346.13,8.12,51.18,37.29,8.22,44.58,13.6,0.49,140.84,64.12,19.51,18.66,0.184,5.69,32,Synthetic Zone,Synthetic Area 17,SYN-X17,20.279192870847492,85.80656310600489,Monsoon,Synthetic_Clean
5.37,634.17,413.29,127.65,148.48,42.58,6.92,54.07,23.78,0.428,149.55,73.46,17.63,19.47,0.04,4.95,33,Synthetic Zone,Synthetic Area 18,SYN-X18,20.324137345230067,85.78321904216753,Monsoon,Synthetic_Clean
5.92,474.26,309.02,51.88,45.15,29.8,8.29,36.16,24.09,0.531,10.0,99.2,22.67,42.6,0.244,5.74,34,Synthetic Zone,Synthetic Area 19,SYN-X19,20.338475552110975,85.81165313815367,Monsoon,Synthetic_Clean
5.56,503.25,328.88,57.13,90.97,38.67,4.94,38.72,13.62,0.499,110.83,82.84,16.11,27.73,0.073,4.89,35,Synthetic Zone,Synthetic Area 20,SYN-X20,20.34390309989417,85.82221816189178,Monsoon,Synthetic_Clean
5.57,721.18,465.68,329.29,80.3,60.13,12.03,60.95,19.64,0.156,105.8,78.57,37.96,39.99,0.119,6.07,36,Synthetic Zone,Synthetic Area 21,SYN-X21,20.283549985775863,85.84640471446886,Monsoon,Synthetic_Clean
5.48,722.28,467.84,196.2,47.89,63.19,11.04,60.67,9.48,0.242,121.17,121.71,32.62,31.91,0.121,5.43,37,Synthetic Zone,Synthetic Area 22,SYN-X22,20.290676928917225,85.82200956346013,Monsoon,Synthetic_Clean
5.32,571.77,368.5,39.09,92.71,29.7,8.19,66.33,12.43,0.244,174.21,43.45,20.65,11.55,0.111,8.39,38,Synthetic Zone,Synthetic Area 23,SYN-X23,20.27301586024902,85.83471519877453,Monsoon,Synthetic_Clean
5.74,654.24,424.65,142.12,21.2,56.5,12.11,64.1,9.52,0.28,92.52,117.81,31.73,29.97,0.176,3.51,39,Synthetic Zone,Synthetic Area 24,SYN-X24,20.33204830995496,85.8107959543306,Monsoon,Synthetic_Clean
4.67,780.48,505.48,165.34,18.45,60.61,10.45,90.96,3.48,0.01,164.35,76.37,24.43,62.23,0.067,6.26,40,Synthetic Zone,Synthetic Area 25,SYN-X25,20.36090481136544,85.86034542548153,Monsoon,Synthetic_Clean
6.77,655.38,425.69,145.57,43.46,38.42,13.84,40.74,22.44,0.366,166.51,67.06,7.82,50.58,0.184,3.39,41,Synthetic Zone,Synthetic Area 26,SYN-X26,20.33625662490733,85.8442937407827,Monsoon,Synthetic_Clean
4.11,806.47,525.74,234.0,62.12,62.68,11.1,79.11,19.27,0.2,180.83,84.16,34.97,43.34,0.01,6.33,42,Synthetic Zone,Synthetic Area 27,SYN-X27,20.290702704827545,85.83861005644216,Monsoon,Synthetic_Clean
5.71,675.75,437.97,34.44,84.23,36.01,10.34,74.41,21.6,0.265,262.82,15.63,18.28,11.9,0.106,8.18,43,Synthetic Zone,Synthetic Area 28,SYN-X28,20.285283159856885,85.7873288557253,Monsoon,Synthetic_Clean
6.2,551.1,359.12,122.45,63.68,36.53,11.93,44.57,13.04,0.529,103.93,94.94,16.64,28.67,0.156,2.54,44,Synthetic Zone,Synthetic Area 29,SYN-X29,20.36540932275359,85.83516612648064,Monsoon,Synthetic_Clean
6.14,668.23,435.83,286.55,59.53,74.66,9.63,36.42,10.3,0.217,54.0,152.81,26.55,30.07,0.043,3.55,45,Synthetic Zone,Synthetic Area 30,SYN-X30,20.30856132059905,85.80174498562172,Monsoon,Synthetic_Clean
4.68,613.58,398.29,194.44,56.21,48.79,12.18,62.89,18.81,0.42,68.15,107.18,46.95,9.27,0.2,5.04,46,Synthetic Zone,Synthetic Area 31,SYN-X31,20.325854577699555,85.77788788415533,Monsoon,Synthetic_Clean
4.43,615.75,401.21,58.75,62.18,38.75,6.94,77.05,15.45,0.196,156.25,26.67,19.94,51.93,0.099,5.71,47,Synthetic Zone,Synthetic Area 32,SYN-X32,20.27493063238381,85.77621420310736,Monsoon,Synthetic_Clean
6.25,558.14,361.29,67.92,129.89,30.6,11.03,50.3,19.41,0.478,194.42,40.29,17.63,0.5,0.136,6.22,48,Synthetic Zone,Synthetic Area 33,SYN-X33,20.315379516659597,85.83298919625204,Monsoon,Synthetic_Clean
4.78,672.73,435.65,172.31,63.56,56.59,7.76,73.61,8.81,0.322,18.91,164.92,39.03,55.37,0.083,3.55,49,Synthetic Zone,Synthetic Area 34,SYN-X34,20.271710509469113,85.84505098008322,Monsoon,Synthetic_Clean
6.33,788.55,511.3,123.77,66.52,56.41,12.93,76.53,8.45,0.117,212.0,94.3,11.29,28.97,0.047,5.52,50,Synthetic Zone,Synthetic Area 35,SYN-X35,20.288502040484786,85.84144867871031,Monsoon,Synthetic_Clean
6.13,269.93,175.46,62.88,13.69,20.69,7.65,22.56,2.01,0.01,25.18,21.92,30.98,42.03,0.01,6.48,1,Population Density,Acharya Vihar (Syn),SYN-PD-1,20.310714780774433,85.82556787699387,Postmonsoon,Synthetic_Clean
5.97,537.03,349.07,271.58,40.03,62.99,15.72,7.94,5.31,0.341,147.79,84.3,1.9,0.5,0.143,6.42,2,Population Density,Ram Mandir (Syn),SYN-PD-2,20.276281400877863,85.83927365524202,Postmonsoon,Synthetic_Clean
6.99,441.21,286.79,141.74,66.08,26.1,21.28,30.95,4.23,0.21,56.21,94.57,12.58,33.33,0.225,5.1,3,Population Density,Sailashree Vihar (Syn),SYN-PD-3,20.34673249101405,85.81748634788671,Postmonsoon,Synthetic_Clean
5.74,383.7,249.41,141.08,71.68,20.67,6.1,28.68,7.79,0.288,31.42,66.71,21.12,54.36,0.154,6.21,4,Population Density,OMFED Square (Syn),SYN-PD-4,20.327274375437003,85.81889957918446,Postmonsoon,Synthetic_Clean
6.17,637.53,414.4,240.24,110.43,71.03,15.35,21.53,10.15,0.326,81.18,134.51,27.73,37.77,0.187,6.36,5,Population Density,Old Town Bhubaneswar (Syn),SYN-PD-5,20.221318459990368,85.8417016725805,Postmonsoon,Synthetic_Clean
5.62,616.78,400.92,164.25,70.29,61.81,2.92,39.68,8.53,0.455,53.22,144.53,26.38,55.1,0.193,5.13,6,Industrial areas,Mancheswar Industrial Estate (Syn),SYN-IA-1,20.303619510455928,85.85279911598937,Postmonsoon,Synthetic_Clean
6.07,273.57,177.82,2.0,10.0,7.22,7.9,19.73,2.43,0.842,68.14,20.37,17.51,9.68,0.111,6.13,7,Industrial areas,Chandaka Industrial Estate (Syn),SYN-IA-2,20.346867416528355,85.8225249484564,Postmonsoon,Synthetic_Clean
5.67,277.6,180.42,47.98,10.0,13.84,3.05,19.78,1.65,0.445,124.82,5.0,26.54,30.57,0.073,6.1,8,Industrial areas,OMFED Industries (Syn),SYN-IA-3,20.326901346267828,85.82802381994496,Postmonsoon,Synthetic_Clean
6.44,396.76,257.89,229.55,54.27,34.95,18.04,17.3,4.78,0.01,102.31,18.27,16.95,36.02,0.131,6.41,9,Industrial areas,Rasulgarh (Syn),SYN-IA-4,20.30483532602217,85.86480365062096,Postmonsoon,Synthetic_Clean
