pH,EC,TDS,TH,Alkalinity,Ca,Mg,Na,K,Iron,HCO3,Cl,SO4,NO3,F,DO,Sl_No,Sites,Areas,Location_ID,Latitude,Longitude,Season,Data_Type
5.61,464.16,207.94,23.62,109.14,32.69,4.99,25.04,5.14,0.257,122.64,42.26,8.89,19.3,0.089,6.16,11,"Dumping 
Yard",Bhuasuni Temple Area (Syn),SYN-DY-1,20.394379954281913,85.7940839080016,Premonsoon,Synthetic
5.87,429.45,243.48,13.14,117.36,34.26,7.6,28.79,8.02,0.375,113.34,51.92,4.95,30.87,0.038,5.88,12,"Dumping 
Yard",Lingaraj Railway Station (Syn),SYN-DY-2,20.229882974548854,85.83762465318301,Premonsoon,Synthetic
6.0,342.52,199.38,32.48,112.87,33.25,6.54,30.27,5.35,0.252,63.66,49.85,21.99,38.29,0.014,6.51,13,"Dumping 
Yard","BMC Micro 
Composting (Syn)",SYN-DY-3,20.282453657159593,85.83338551084088,Premonsoon,Synthetic
4.68,284.14,197.61,23.33,101.69,30.74,5.57,11.6,6.64,0.174,74.83,30.48,8.82,24.66,0.013,6.46,14,"Dumping 
Yard",Gadakan Road (Syn),SYN-DY-4,20.317361225488053,85.83016858699033,Premonsoon,Synthetic
6.45,289.89,183.27,18.07,105.04,31.9,6.07,9.5,7.14,0.116,50.93,44.04,13.26,13.49,0.064,6.37,15,"Dumping 
Yard",Daruthenga (Syn),SYN-DY-5,20.37793676162762,85.79932220015718,Premonsoon,Synthetic
6.23,386.52,283.0,32.82,116.43,32.89,8.49,22.0,6.96,0.259,89.68,37.08,25.86,49.64,0.052,5.75,16,Synthetic Zone,Synthetic Area 1,SYN-X1,20.266611780663144,85.81380625945624,Premonsoon,Synthetic
6.68,420.85,230.57,21.63,116.4,31.75,6.92,27.68,6.06,0.328,60.12,32.23,24.66,17.87,0.047,6.9,17,Synthetic Zone,Synthetic Area 2,SYN-X2,20.357865220375906,85.78411659498823,Premonsoon,Synthetic
5.05,421.43,258.78,24.52,117.02,34.06,6.02,28.43,4.9,0.503,99.12,49.31,20.71,29.66,0.046,8.13,18,Synthetic Zone,Synthetic Area 3,SYN-X3,20.317104972155192,85.85158077157242,Premonsoon,Synthetic
6.49,347.72,190.11,2.0,104.72,32.73,5.19,21.18,5.25,0.231,55.13,42.36,7.09,9.7,0.024,7.3,19,Synthetic Zone,Synthetic Area 4,SYN-X4,20.359715664085343,85.8476061972867,Premonsoon,Synthetic
6.09,316.05,238.81,12.15,109.72,33.55,5.41,24.16,6.81,0.251,70.52,41.82,12.73,45.48,0.039,5.77,20,Synthetic Zone,Synthetic Area 5,SYN-X5,20.337519088197773,85.8555773423529,Premonsoon,Synthetic
6.64,343.42,186.26,26.55,102.2,33.07,6.76,20.87,4.55,0.122,67.31,43.58,11.91,3.82,0.096,8.0,21,Synthetic Zone,Synthetic Area 6,SYN-X6,20.310082655431085,85.8535129865951,Premonsoon,Synthetic
8.71,460.69,246.81,45.25,104.51,34.73,9.45,34.7,9.04,0.368,71.83,66.42,32.49,8.71,0.063,5.93,22,Synthetic Zone,Synthetic Area 7,SYN-X7,20.266258973807876,85.865384638871,Premonsoon,Synthetic
6.72,357.18,255.3,28.91,101.39,33.32,7.34,27.79,5.4,0.29,76.42,44.28,13.78,21.4,0.091,5.74,23,Synthetic Zone,Synthetic Area 8,SYN-X8,20.30979318428505,85.8282665521199,Premonsoon,Synthetic
6.48,456.58,311.63,25.09,116.13,33.49,9.73,27.15,8.78,0.345,125.45,45.18,22.48,37.78,0.033,6.01,24,Synthetic Zone,Synthetic Area 9,SYN-X9,20.29095075822482,85.84718161661736,Premonsoon,Synthetic
6.3,399.66,237.02,32.0,101.63,32.89,8.22,25.18,8.2,0.214,88.31,42.66,14.81,19.24,0.033,5.62,25,Synthetic Zone,Synthetic Area 10,SYN-X10,20.273126113980858,85.86019211358801,Premonsoon,Synthetic
8.94,433.24,282.76,51.2,119.54,33.54,8.81,26.26,6.97,0.187,124.93,44.09,25.43,0.5,0.12,6.64,26,Synthetic Zone,Synthetic Area 11,SYN-X11,20.348274216233964,85.7945345449578,Premonsoon,Synthetic
5.94,371.43,311.3,54.11,122.79,34.24,9.48,37.59,7.19,0.338,128.97,52.53,18.64,27.83,0.077,7.04,27,Synthetic Zone,Synthetic Area 12,SYN-X12,20.346394973161857,85.85156430663947,Premonsoon,Synthetic
7.2,410.86,214.43,30.72,115.46,32.71,7.74,10.39,7.23,0.236,76.21,35.41,23.84,0.92,0.082,7.36,28,Synthetic Zone,Synthetic Area 13,SYN-X13,20.328684193108725,85.8102805510233,Premonsoon,Synthetic
6.71,409.36,210.7,2.0,111.5,34.07,5.69,29.82,5.39,0.318,79.71,39.27,21.59,15.62,0.06,7.12,29,Synthetic Zone,Synthetic Area 14,SYN-X14,20.29261240875152,85.79610689236226,Premonsoon,Synthetic
7.04,399.93,243.7,44.1,103.2,30.5,4.78,27.52,3.1,0.154,80.72,33.56,8.47,17.71,0.071,6.34,30,Synthetic Zone,Synthetic Area 15,SYN-X15,20.29732342960969,85.86328437767658,Premonsoon,Synthetic
6.82,341.89,211.06,23.2,105.63,32.52,5.53,16.81,4.15,0.19,74.17,41.44,12.56,8.13,0.044,6.84,31,Synthetic Zone,Synthetic Area 16,SYN-X16,20.27322661093221,85.85581566095863,Premonsoon,Synthetic
4.22,300.97,224.17,2.0,103.0,31.92,5.27,17.25,5.91,0.174,67.27,22.23,6.7,18.44,0.028,7.36,32,Synthetic Zone,Synthetic Area 17,SYN-X17,20.300351540837514,85.82508847293447,Premonsoon,Synthetic
7.5,477.64,313.87,55.2,115.57,33.85,8.06,33.98,7.44,0.346,86.5,70.86,27.24,18.94,0.047,6.71,33,Synthetic Zone,Synthetic Area 18,SYN-X18,20.34491109669818,85.86136618803562,Premonsoon,Synthetic
5.48,367.5,177.82,13.83,100.59,33.07,7.51,3.98,6.18,0.059,118.05,12.5,5.7,0.5,0.056,6.46,34,Synthetic Zone,Synthetic Area 19,SYN-X19,20.299940675340597,85.81911288146084,Premonsoon,Synthetic
4.0,396.42,269.71,14.44,111.26,32.17,6.22,26.66,5.93,0.429,93.38,49.53,16.16,41.1,0.029,6.2,35,Synthetic Zone,Synthetic Area 20,SYN-X20,20.30691413981501,85.77425363668371,Premonsoon,Synthetic
7.08,430.27,300.87,53.53,128.15,33.56,7.69,26.96,9.6,0.348,123.53,52.84,32.69,23.39,0.081,7.12,36,Synthetic Zone,Synthetic Area 21,SYN-X21,20.2950568222192,85.81884745670658,Premonsoon,Synthetic
6.25,262.43,185.97,14.39,102.8,32.01,4.67,13.45,6.16,0.062,73.04,11.26,19.06,6.07,0.027,7.59,37,Synthetic Zone,Synthetic Area 22,SYN-X22,20.306571894221374,85.8451214560849,Premonsoon,Synthetic
7.06,427.37,200.58,37.83,111.58,33.53,5.17,35.1,10.09,0.241,59.37,68.94,12.94,16.3,0.08,5.68,38,Synthetic Zone,Synthetic Area 23,SYN-X23,20.303942895055442,85.8218661782304,Premonsoon,Synthetic
6.26,506.8,257.11,23.48,119.81,34.04,7.53,34.66,6.06,0.359,54.07,55.13,17.96,38.18,0.044,4.94,39,Synthetic Zone,Synthetic Area 24,SYN-X24,20.30842339254657,85.84699114822276,Premonsoon,Synthetic
6.43,346.11,265.59,5.04,115.38,32.18,5.84,24.64,6.0,0.268,79.47,38.34,4.84,34.5,0.086,4.63,40,Synthetic Zone,Synthetic Area 25,SYN-X25,20.35175977323203,85.82611744123408,Premonsoon,Synthetic
5.98,346.24,229.75,43.28,105.26,32.86,5.02,21.16,7.33,0.286,63.21,38.75,16.39,24.61,0.067,5.12,41,Synthetic Zone,Synthetic Area 26,SYN-X26,20.344405752752852,85.80260720153531,Premonsoon,Synthetic
6.37,411.16,254.29,27.7,112.07,33.81,5.64,21.41,6.13,0.144,111.96,42.73,10.4,15.44,0.102,5.74,42,Synthetic Zone,Synthetic Area 27,SYN-X27,20.31959949434906,85.80745152870033,Premonsoon,Synthetic
8.32,490.2,337.17,68.16,139.79,34.39,9.54,35.58,11.11,0.283,135.05,55.8,28.52,7.12,0.085,7.92,43,Synthetic Zone,Synthetic Area 28,SYN-X28,20.306882625890516,85.84616991981459,Premonsoon,Synthetic
7.65,434.41,251.59,39.72,104.53,33.23,5.85,29.19,3.52,0.151,87.5,59.04,13.5,13.02,0.038,6.83,44,Synthetic Zone,Synthetic Area 29,SYN-X29,20.353628781566602,85.7850780724421,Premonsoon,Synthetic
4.99,317.72,225.67,2.0,114.64,34.54,7.11,29.37,3.71,0.306,77.27,35.08,19.38,12.53,0.076,6.8,45,Synthetic Zone,Synthetic Area 30,SYN-X30,20.32892645898207,85.8311429140911,Premonsoon,Synthetic
5.05,377.34,226.19,2.0,111.66,33.37,7.71,23.93,5.86,0.357,89.56,36.4,20.97,26.09,0.036,5.85,46,Synthetic Zone,Synthetic Area 31,SYN-X31,20.277304037250925,85.79411796637734,Premonsoon,Synthetic
7.06,464.03,266.65,34.32,122.75,33.06,10.04,30.48,6.99,0.31,106.39,50.54,26.97,37.05,0.055,7.23,47,Synthetic Zone,Synthetic Area 32,SYN-X32,20.2965627828066,85.78962164041508,Premonsoon,Synthetic
6.22,519.69,301.45,21.44,117.99,35.4,9.71,39.8,9.45,0.322,89.43,48.9,25.49,49.87,0.062,5.13,48,Synthetic Zone,Synthetic Area 33,SYN-X33,20.289835481585765,85.7996886132195,Premonsoon,Synthetic
7.19,363.24,257.83,17.28,101.71,32.99,8.24,8.9,6.99,0.174,82.23,37.52,12.33,19.81,0.078,5.57,49,Synthetic Zone,Synthetic Area 34,SYN-X34,20.299029916637238,85.84786757861345,Premonsoon,Synthetic
5.71,397.17,292.11,13.17,122.57,35.12,8.71,32.86,6.47,0.329,105.03,33.09,12.97,27.19,0.01,6.77,50,Synthetic Zone,Synthetic Area 35,SYN-X35,20.32265375371839,85.87155320052847,Premonsoon,Synthetic
7.37,553.85,499.01,131.55,124.9,47.03,10.51,23.77,19.42,0.291,227.85,41.46,8.89,0.5,0.101,6.95,1,Population Density,Acharya Vihar (Syn),SYN-PD-1,20.297712162575618,85.83318664419868,Monsoon,Synthetic
6.26,549.79,423.3,196.02,106.85,52.63,14.37,33.31,14.07,0.396,187.78,66.31,31.91,1.14,0.04,5.25,2,Population Density,Ram Mandir (Syn),SYN-PD-2,20.286317381420886,85.84111593845597,Monsoon,Synthetic
6.44,586.9,434.25,97.31,185.2,55.12,10.5,47.48,16.49,0.3,169.09,61.52,21.0,0.5,0.01,4.39,3,Population Density,Sailashree Vihar (Syn),SYN-PD-3,20.339882474222343,85.80561928569384,Monsoon,Synthetic
5.43,758.3,482.8,304.36,97.58,69.7,9.17,57.22,8.01,0.52,80.08,159.51,45.62,0.5,0.051,4.34,4,Population Density,OMFED Square (Syn),SYN-PD-4,20.32916305375957,85.82573244856897,Monsoon,Synthetic
6.25,585.1,421.69,196.97,18.55,58.73,11.41,12.32,13.23,0.467,21.42,117.81,24.27,10.33,0.109,4.06,5,Population Density,Old Town Bhubaneswar (Syn),SYN-PD-5,20.22808527022596,85.82447517112158,Monsoon,Synthetic
7.23,605.83,355.52,80.92,157.97,21.69,10.47,59.05,21.23,0.573,137.65,43.11,7.13,0.5,0.01,6.5,6,Industrial areas,Mancheswar Industrial Estate (Syn),SYN-IA-1,20.31347669925022,85.8595330284077,Monsoon,Synthetic
6.65,661.0,411.55,38.72,129.25,57.19,9.08,18.89,23.99,0.323,10.0,82.77,1.0,0.5,0.122,4.6,7,Industrial areas,Chandaka Industrial Estate (Syn),SYN-IA-2,20.341302821893862,85.81629572233966,Monsoon,Synthetic
6.6,669.06,460.11,314.86,36.37,47.15,11.84,58.44,17.22,0.104,186.88,58.97,28.03,31.07,0.173,6.14,8,Industrial areas,OMFED Industries (Syn),SYN-IA-3,20.3327092670848,85.82728640673366,Monsoon,Synthetic
6.35,574.11,399.45,100.68,116.95,39.61,11.06,53.59,4.67,0.38,278.63,60.08,1.54,0.5,0.079,5.79,9,Industrial areas,Rasulgarh (Syn),SYN-IA-4,20.303138034759122,85.86789007895857,Monsoon,Synthetic
4.44,689.31,431.3,251.7,10.0,50.22,13.42,81.89,4.94,0.01,134.7,103.46,34.1,73.81,0.179,5.6,10,Industrial areas,Anmol Industries Dabua (Syn),SYN-IA-5,20.372215391640644,85.74427994157199,Monsoon,Synthetic
5.45,452.24,260.9,181.05,20.61,47.53,7.34,27.24,16.67,0.362,80.08,92.1,31.59,22.92,0.19,4.16,11,"Dumping 
Yard",Bhuasuni Temple Area (Syn),SYN-DY-1,20.38080291416939,85.78558043273908,Monsoon,Synthetic
6.42,563.53,390.16,16.44,163.13,45.59,5.2,38.07,15.71,0.558,142.39,63.02,14.07,1.39,0.076,4.83,12,"Dumping 
Yard",Lingaraj Railway Station (Syn),SYN-DY-2,20.239664421412087,85.838731917455,Monsoon,Synthetic
5.65,618.64,406.48,123.35,76.45,43.38,12.35,71.6,22.39,0.179,58.82,75.79,31.04,8.05,0.111,4.14,13,"Dumping 
Yard","BMC Micro 
Composting (Syn)",SYN-DY-3,20.292142177204195,85.83865254905768,Monsoon,Synthetic
5.3,773.19,527.94,107.9,101.09,49.57,6.35,69.78,1.47,0.2,112.38,108.78,15.28,24.18,0.01,3.95,14,"Dumping 
Yard",Gadakan Road (Syn),SYN-DY-4,20.326962109751292,85.84580463584926,Monsoon,Synthetic
4.77,679.71,496.48,159.48,83.53,47.29,8.07,64.46,12.83,0.288,251.22,127.08,29.4,0.5,0.031,7.68,15,"Dumping 
Yard",Daruthenga (Syn),SYN-DY-5,20.377638159123386,85.8017268331957,Monsoon,Synthetic
5.89,557.83,385.13,77.87,61.66,49.92,7.51,35.24,13.16,0.423,147.84,25.89,17.11,30.29,0.097,6.24,16,Synthetic Zone,Synthetic Area 1,SYN-X1,20.308141570552724,85.8378020472209,Monsoon,Synthetic
6.3,588.06,391.92,219.15,68.92,71.51,13.02,43.09,14.92,0.442,112.05,77.4,31.0,20.93,0.219,4.15,17,Synthetic Zone,Synthetic Area 2,SYN-X2,20.338189380378576,85.83630394205235,Monsoon,Synthetic
4.64,682.52,463.82,189.45,60.31,68.57,12.71,61.03,6.97,0.355,183.6,111.36,13.32,8.73,0.04,4.06,18,Synthetic Zone,Synthetic Area 3,SYN-X3,20.27951326364419,85.81722363440812,Monsoon,Synthetic
5.83,644.22,441.25,154.76,65.23,45.41,11.86,64.06,18.96,0.234,173.05,58.85,32.05,0.5,0.097,6.72,19,Synthetic Zone,Synthetic Area 4,SYN-X4,20.321606371126645,85.85783290925119,Monsoon,Synthetic
4.32,698.8,441.91,140.93,105.87,52.63,10.85,93.32,11.26,0.01,176.6,68.21,28.04,47.22,0.054,2.97,20,Synthetic Zone,Synthetic Area 5,SYN-X5,20.309827108213188,85.86480326381376,Monsoon,Synthetic
6.53,792.19,433.45,217.88,97.24,45.91,11.79,46.96,20.38,0.39,145.59,91.33,14.92,4.45,0.111,6.72,21,Synthetic Zone,Synthetic Area 6,SYN-X6,20.309499955635854,85.82780651925962,Monsoon,Synthetic
5.7,700.59,506.81,166.11,65.2,53.23,5.51,45.54,18.52,0.01,177.12,92.18,17.69,33.98,0.01,6.71,22,Synthetic Zone,Synthetic Area 7,SYN-X7,20.345091101627613,85.83123530177554,Monsoon,Synthetic
4.4,758.73,466.63,192.59,55.21,57.24,19.08,74.31,14.92,0.378,115.57,138.43,22.91,12.04,0.098,6.63,23,Synthetic Zone,Synthetic Area 8,SYN-X8,20.361484340571614,85.83896211638474,Monsoon,Synthetic
6.03,722.34,443.26,133.96,122.75,56.17,12.41,48.28,20.56,0.263,190.63,35.36,16.85,0.5,0.102,5.94,24,Synthetic Zone,Synthetic Area 9,SYN-X9,20.31773347874009,85.7752877301114,Monsoon,Synthetic
5.63,608.66,326.42,33.95,115.45,37.35,6.6,69.69,14.5,0.275,124.1,61.76,14.81,28.07,0.043,4.57,25,Synthetic Zone,Synthetic Area 10,SYN-X10,20.306835823091365,85.80285337525935,Monsoon,Synthetic
6.81,501.17,300.06,75.45,110.89,34.71,7.27,15.54,24.33,0.459,115.08,42.05,2.28,22.07,0.198,4.08,26,Synthetic Zone,Synthetic Area 11,SYN-X11,20.34027310012208,85.79375630084868,Monsoon,Synthetic
6.92,668.01,382.67,199.41,117.23,58.84,9.16,41.39,11.47,0.568,168.88,86.71,13.08,37.14,0.057,2.42,27,Synthetic Zone,Synthetic Area 12,SYN-X12,20.28598454206274,85.79188043765706,Monsoon,Synthetic
6.22,611.99,416.2,154.72,52.04,42.72,11.1,91.03,0.64,0.313,15.84,154.68,25.37,38.21,0.037,4.14,28,Synthetic Zone,Synthetic Area 13,SYN-X13,20.278024094648956,85.80402923370042,Monsoon,Synthetic
5.76,774.54,599.84,259.29,10.0,76.84,10.8,50.2,4.99,0.413,110.11,115.81,25.05,39.13,0.057,7.28,29,Synthetic Zone,Synthetic Area 14,SYN-X14,20.354054744777674,85.85042138056392,Monsoon,Synthetic
6.0,374.94,276.63,214.78,69.56,43.04,8.51,14.44,0.5,0.623,20.45,218.56,18.92,46.3,0.01,3.22,30,Synthetic Zone,Synthetic Area 15,SYN-X15,20.33898765496401,85.85266221389833,Monsoon,Synthetic
7.37,503.46,291.51,88.84,54.44,53.22,9.54,46.59,13.12,0.508,134.92,91.93,17.34,13.75,0.312,2.05,31,Synthetic Zone,Synthetic Area 16,SYN-X16,20.29240432226629,85.86167270240857,Monsoon,Synthetic
5.42,547.35,308.46,74.72,66.19,28.74,10.62,56.99,24.84,0.61,44.31,102.1,23.09,4.54,0.182,5.44,32,Synthetic Zone,Synthetic Area 17,SYN-X17,20.279192870847492,85.80656310600489,Monsoon,Synthetic
7.23,490.54,385.03,209.97,100.57,44.76,13.09,13.05,21.64,0.73,184.12,99.22,7.52,0.5,0.01,5.93,33,Synthetic Zone,Synthetic Area 18,SYN-X18,20.324137345230067,85.78321904216753,Monsoon,Synthetic
7.22,683.62,351.76,105.66,88.24,43.87,9.86,37.33,14.7,0.572,40.89,115.48,15.63,51.36,0.165,3.32,34,Synthetic Zone,Synthetic Area 19,SYN-X19,20.338475552110975,85.81165313815367,Monsoon,Synthetic
4.57,703.36,467.58,82.15,92.17,60.3,7.44,83.92,0.5,0.155,110.99,137.37,44.47,15.13,0.079,8.7,35,Synthetic Zone,Synthetic Area 20,SYN-X20,20.34390309989417,85.82221816189178,Monsoon,Synthetic
5.41,628.71,415.95,2.0,121.27,29.88,7.8,63.57,17.36,0.197,229.84,5.0,1.0,56.49,0.01,8.43,36,Synthetic Zone,Synthetic Area 21,SYN-X21,20.283549985775863,85.84640471446886,Monsoon,Synthetic
5.91,556.38,434.68,130.3,93.41,63.77,9.84,51.66,12.32,0.177,88.23,63.6,20.81,42.37,0.01,4.77,37,Synthetic Zone,Synthetic Area 22,SYN-X22,20.290676928917225,85.82200956346013,Monsoon,Synthetic
5.4,745.15,361.49,60.01,56.83,46.86,11.77,59.43,20.38,0.249,171.99,75.35,21.68,43.18,0.121,6.47,38,Synthetic Zone,Synthetic Area 23,SYN-X23,20.27301586024902,85.83471519877453,Monsoon,Synthetic
6.82,546.34,348.33,233.33,72.46,41.9,12.16,34.7,25.08,0.463,160.87,85.42,27.43,12.97,0.103,5.67,39,Synthetic Zone,Synthetic Area 24,SYN-X24,20.33204830995496,85.8107959543306,Monsoon,Synthetic
5.82,580.7,352.54,144.33,49.94,51.21,7.99,44.38,17.17,0.279,120.46,51.39,25.5,7.36,0.257,5.17,40,Synthetic Zone,Synthetic Area 25,SYN-X25,20.36090481136544,85.86034542548153,Monsoon,Synthetic
7.24,562.37,360.38,170.01,116.62,51.58,8.64,4.18,17.55,0.57,111.26,64.88,7.25,19.96,0.048,2.0,41,Synthetic Zone,Synthetic Area 26,SYN-X26,20.33625662490733,85.8442937407827,Monsoon,Synthetic
4.66,616.3,408.27,94.74,69.82,39.3,4.52,70.97,25.22,0.441,144.12,35.52,28.85,0.5,0.144,7.85,42,Synthetic Zone,Synthetic Area 27,SYN-X27,20.290702704827545,85.83861005644216,Monsoon,Synthetic
6.23,602.77,389.74,150.61,89.89,30.42,15.09,56.89,18.99,0.636,93.85,141.57,34.98,4.0,0.1,5.71,43,Synthetic Zone,Synthetic Area 28,SYN-X28,20.285283159856885,85.7873288557253,Monsoon,Synthetic
5.18,690.31,464.91,335.88,10.0,44.72,13.71,68.45,11.83,0.066,140.22,74.74,33.18,45.29,0.194,3.27,44,Synthetic Zone,Synthetic Area 29,SYN-X29,20.36540932275359,85.83516612648064,Monsoon,Synthetic
5.59,525.55,395.62,124.71,43.24,48.23,13.41,46.82,10.99,0.209,74.42,46.79,22.22,25.94,0.101,6.27,45,Synthetic Zone,Synthetic Area 30,SYN-X30,20.30856132059905,85.80174498562172,Monsoon,Synthetic
5.21,606.73,418.24,46.13,57.57,69.54,5.88,56.52,14.7,0.214,115.85,131.17,20.71,55.24,0.132,2.36,46,Synthetic Zone,Synthetic Area 31,SYN-X31,20.325854577699555,85.77788788415533,Monsoon,Synthetic
5.87,642.62,457.39,156.07,101.01,49.88,12.7,68.66,17.99,0.528,119.19,54.22,17.71,18.54,0.01,2.0,47,Synthetic Zone,Synthetic Area 32,SYN-X32,20.27493063238381,85.77621420310736,Monsoon,Synthetic
6.35,560.59,396.89,265.69,72.13,58.59,8.53,43.5,17.82,0.234,75.37,72.03,24.31,0.5,0.221,2.63,48,Synthetic Zone,Synthetic Area 33,SYN-X33,20.315379516659597,85.83298919625204,Monsoon,Synthetic
6.6,650.57,403.39,287.19,38.4,59.24,11.74,45.96,9.91,0.186,139.66,142.08,9.25,0.5,0.109,5.57,49,Synthetic Zone,Synthetic Area 34,SYN-X34,20.271710509469113,85.84505098008322,Monsoon,Synthetic
5.93,768.28,457.93,294.83,113.29,49.43,15.32,43.64,17.44,0.513,103.87,126.21,21.13,12.95,0.032,3.02,50,Synthetic Zone,Synthetic Area 35,SYN-X35,20.288502040484786,85.84144867871031,Monsoon,Synthetic
6.77,547.33,357.51,171.71,10.0,85.23,9.64,13.14,4.74,0.432,57.07,72.26,22.27,44.04,0.048,6.39,1,Population Density,Acharya Vihar (Syn),SYN-PD-1,20.310714780774433,85.82556787699387,Postmonsoon,Synthetic
6.05,397.01,194.54,151.86,119.35,19.5,12.98,30.98,4.42,0.256,58.82,59.45,21.24,16.37,0.247,6.4,2,Population Density,Ram Mandir (Syn),SYN-PD-2,20.276281400877863,85.83927365524202,Postmonsoon,Synthetic
5.61,504.28,311.06,247.62,121.16,47.92,22.55,21.58,0.5,0.246,171.29,78.8,12.47,2.32,0.265,7.16,3,Population Density,Sailashree Vihar (Syn),SYN-PD-3,20.34673249101405,85.81748634788671,Postmonsoon,Synthetic
5.54,377.86,295.92,226.18,50.11,19.72,26.64,32.79,2.26,0.089,64.49,116.7,8.42,1.43,0.169,6.98,4,Population Density,OMFED Square (Syn),SYN-PD-4,20.327274375437003,85.81889957918446,Postmonsoon,Synthetic
6.52,302.1,221.56,187.64,120.23,29.31,11.06,2.0,0.5,0.418,39.17,88.07,7.0,0.5,0.1,7.16,5,Population Density,Old Town Bhubaneswar (Syn),SYN-PD-5,20.221318459990368,85.8417016725805,Postmonsoon,Synthetic
6.55,411.21,277.49,95.73,41.89,42.47,12.14,23.65,2.9,0.26,10.0,115.42,14.48,30.13,0.12,6.07,6,Industrial areas,Mancheswar Industrial Estate (Syn),SYN-IA-1,20.303619510455928,85.85279911598937,Postmonsoon,Synthetic
5.31,635.94,386.37,193.49,60.24,73.74,3.32,27.54,13.69,0.51,93.87,120.65,18.97,21.09,0.117,6.79,7,Industrial areas,Chandaka Industrial Estate (Syn),SYN-IA-2,20.346867416528355,85.8225249484564,Postmonsoon,Synthetic
6.26,475.08,346.19,189.4,112.91,49.65,17.25,32.66,7.37,0.13,63.2,115.01,21.53,37.76,0.263,4.32,8,Industrial areas,OMFED Industries (Syn),SYN-IA-3,20.326901346267828,85.82802381994496,Postmonsoon,Synthetic
6.27,404.07,254.62,116.33,31.5,24.52,4.14,15.39,9.81,0.465,44.15,89.6,15.94,18.48,0.12,6.85,9,Industrial areas,Rasulgarh (Syn),SYN-IA-4,20.30483532602217,85.86480365062096,Postmonsoon,Synthetic
6.72,467.16,265.46,148.65,74.77,8.72,21.93,12.03,6.51,0.01,60.57,105.79,17.67,0.5,0.14,5.64,10,Industrial areas,Anmol Industries Dabua (Syn),SYN-IA-5,20.357930836038527,85.76309651496767,Postmonsoon,Synthetic
5.82,537.33,383.69,223.76,78.73,48.56,5.72,33.5,7.9,0.345,47.75,132.9,18.71,50.61,0.146,6.03,11,"Dumping 
Yard",Bhuasuni Temple Area (Syn),SYN-DY-1,20.39780941714904,85.79897658338251,Postmonsoon,Synthetic
5.41,638.28,385.94,247.17,88.93,72.39,8.64,24.11,8.23,0.323,127.61,75.61,13.36,27.14,0.296,6.03,12,"Dumping 
Yard",Lingaraj Railway Station (Syn),SYN-DY-2,20.23962847758772,85.8317173125614,Postmonsoon,Synthetic
