Location_ID,Season,Parameter,Ci_measured,Si_standard,wi_raw_weight,Wi_relative_weight,qi_sub_index,Wi_x_qi
PD-2,Premonsoon,SO4,22.8,200,4,0.076923,11.4,0.8769
PD-2,Premonsoon,NO3,28.82,45,5,0.096154,64.0444,6.1581
PD-2,Premonsoon,F,0.05,1.0,5,0.096154,5.0,0.4808
PD-2,Premonsoon,DO,6.11,6.0,4,0.076923,101.8333,7.8333
PD-2,Premonsoon,--- WQI_TOTAL ---,,,,,,49.2338
PD-3,Premonsoon,pH,5.13,8.5,4,0.076923,60.3529,4.6425
PD-3,Premonsoon,EC,331.0,750,4,0.076923,44.1333,3.3949
PD-3,Premonsoon,TDS,212.0,500,5,0.096154,42.4,4.0769
PD-3,Premonsoon,TH,6.0,200,2,0.038462,3.0,0.1154
PD-3,Premonsoon,Alkalinity,107.0,200,2,0.038462,53.5,2.0577
PD-3,Premonsoon,Ca,32.64,75,2,0.038462,43.52,1.6738
PD-3,Premonsoon,Mg,6.19,30,2,0.038462,20.6333,0.7936
PD-3,Premonsoon,Na,15.88,200,3,0.057692,7.94,0.4581
PD-3,Premonsoon,K,6.5,12,2,0.038462,54.1667,2.0833
PD-3,Premonsoon,Iron,0.28,0.3,4,0.076923,93.3333,7.1795
PD-3,Premonsoon,HCO3,89.0,300,1,0.019231,29.6667,0.5705
PD-3,Premonsoon,Cl,27.01,250,3,0.057692,10.804,0.6233
PD-3,Premonsoon,SO4,14.4,200,4,0.076923,7.2,0.5538
PD-3,Premonsoon,NO3,12.35,45,5,0.096154,27.4444,2.6389
PD-3,Premonsoon,F,0.03,1.0,5,0.096154,3.0,0.2885
PD-3,Premonsoon,DO,6.51,6.0,4,0.076923,108.5,8.3462
PD-3,Premonsoon,--- WQI_TOTAL ---,,,,,,39.4969
PD-4,Premonsoon,pH,5.81,8.5,4,0.076923,68.3529,5.2579
PD-4,Premonsoon,EC,366.0,750,4,0.076923,48.8,3.7538
PD-4,Premonsoon,TDS,234.0,500,5,0.096154,46.8,4.5
PD-4,Premonsoon,TH,16.0,200,2,0.038462,8.0,0.3077
PD-4,Premonsoon,Alkalinity,107.0,200,2,0.038462,53.5,2.0577
PD-4,Premonsoon,Ca,32.75,75,2,0.038462,43.6667,1.6795
PD-4,Premonsoon,Mg,6.05,30,2,0.038462,20.1667,0.7756
PD-4,Premonsoon,Na,27.83,200,3,0.057692,13.915,0.8028
PD-4,Premonsoon,K,4.18,12,2,0.038462,34.8333,1.3397
PD-4,Premonsoon,Iron,0.27,0.3,4,0.076923,90.0,6.9231
PD-4,Premonsoon,HCO3,95.42,300,1,0.019231,31.8067,0.6117
PD-4,Premonsoon,Cl,38.54,250,3,0.057692,15.416,0.8894
PD-4,Premonsoon,SO4,8.5,200,4,0.076923,4.25,0.3269
PD-4,Premonsoon,NO3,17.84,45,5,0.096154,39.6444,3.812
PD-4,Premonsoon,F,0.06,1.0,5,0.096154,6.0,0.5769
PD-4,Premonsoon,DO,6.3,6.0,4,0.076923,105.0,8.0769
PD-4,Premonsoon,--- WQI_TOTAL ---,,,,,,41.6917
PD-5,Premonsoon,pH,7.81,8.5,4,0.076923,91.8824,7.0679
PD-5,Premonsoon,EC,350.0,750,4,0.076923,46.6667,3.5897
PD-5,Premonsoon,TDS,224.0,500,5,0.096154,44.8,4.3077
PD-5,Premonsoon,TH,49.0,200,2,0.038462,24.5,0.9423
PD-5,Premonsoon,Alkalinity,108.0,200,2,0.038462,54.0,2.0769
PD-5,Premonsoon,Ca,32.12,75,2,0.038462,42.8267,1.6472
PD-5,Premonsoon,Mg,6.71,30,2,0.038462,22.3667,0.8603
PD-5,Premonsoon,Na,21.16,200,3,0.057692,10.58,0.6104
PD-5,Premonsoon,K,5.6,12,2,0.038462,46.6667,1.7949
PD-5,Premonsoon,Iron,0.12,0.3,4,0.076923,40.0,3.0769
PD-5,Premonsoon,HCO3,81.85,300,1,0.019231,27.2833,0.5247
PD-5,Premonsoon,Cl,39.12,250,3,0.057692,15.648,0.9028
PD-5,Premonsoon,SO4,11.9,200,4,0.076923,5.95,0.4577
PD-5,Premonsoon,NO3,4.87,45,5,0.096154,10.8222,1.0406
PD-5,Premonsoon,F,0.08,1.0,5,0.096154,8.0,0.7692
PD-5,Premonsoon,DO,7.48,6.0,4,0.076923,124.6667,9.5897
PD-5,Premonsoon,--- WQI_TOTAL ---,,,,,,39.2589
IA-1,Premonsoon,pH,6.76,8.5,4,0.076923,79.5294,6.1176
IA-1,Premonsoon,EC,508.0,750,4,0.076923,67.7333,5.2103
IA-1,Premonsoon,TDS,325.0,500,5,0.096154,65.0,6.25
IA-1,Premonsoon,TH,42.0,200,2,0.038462,21.0,0.8077
IA-1,Premonsoon,Alkalinity,119.0,200,2,0.038462,59.5,2.2885
IA-1,Premonsoon,Ca,34.3,75,2,0.038462,45.7333,1.759
IA-1,Premonsoon,Mg,8.13,30,2,0.038462,27.1,1.0423
IA-1,Premonsoon,Na,33.87,200,3,0.057692,16.935,0.977
IA-1,Premonsoon,K,8.71,12,2,0.038462,72.5833,2.7917
IA-1,Premonsoon,Iron,0.35,0.3,4,0.076923,116.6667,8.9744
IA-1,Premonsoon,HCO3,116.25,300,1,0.019231,38.75,0.7452
IA-1,Premonsoon,Cl,64.85,250,3,0.057692,25.94,1.4965
IA-1,Premonsoon,SO4,22.9,200,4,0.076923,11.45,0.8808
IA-1,Premonsoon,NO3,32.89,45,5,0.096154,73.0889,7.0278
IA-1,Premonsoon,F,0.07,1.0,5,0.096154,7.0,0.6731
IA-1,Premonsoon,DO,6.34,6.0,4,0.076923,105.6667,8.1282
IA-1,Premonsoon,--- WQI_TOTAL ---,,,,,,55.1699
IA-2,Premonsoon,pH,4.48,8.5,4,0.076923,52.7059,4.0543
IA-2,Premonsoon,EC,422.0,750,4,0.076923,56.2667,4.3282
IA-2,Premonsoon,TDS,270.0,500,5,0.096154,54.0,5.1923
IA-2,Premonsoon,TH,9.0,200,2,0.038462,4.5,0.1731
IA-2,Premonsoon,Alkalinity,116.0,200,2,0.038462,58.0,2.2308
IA-2,Premonsoon,Ca,33.32,75,2,0.038462,44.4267,1.7087
IA-2,Premonsoon,Mg,8.0,30,2,0.038462,26.6667,1.0256
IA-2,Premonsoon,Na,34.55,200,3,0.057692,17.275,0.9966
IA-2,Premonsoon,K,5.51,12,2,0.038462,45.9167,1.766
IA-2,Premonsoon,Iron,0.36,0.3,4,0.076923,120.0,9.2308
IA-2,Premonsoon,HCO3,101.5,300,1,0.019231,33.8333,0.6506
IA-2,Premonsoon,Cl,44.61,250,3,0.057692,17.844,1.0295
IA-2,Premonsoon,SO4,7.8,200,4,0.076923,3.9,0.3
IA-2,Premonsoon,NO3,32.65,45,5,0.096154,72.5556,6.9765
IA-2,Premonsoon,F,0.03,1.0,5,0.096154,3.0,0.2885
IA-2,Premonsoon,DO,6.18,6.0,4,0.076923,103.0,7.9231
IA-2,Premonsoon,--- WQI_TOTAL ---,,,,,,47.8746
IA-3,Premonsoon,pH,6.38,8.5,4,0.076923,75.0588,5.7738
IA-3,Premonsoon,EC,409.0,750,4,0.076923,54.5333,4.1949
IA-3,Premonsoon,TDS,262.0,500,5,0.096154,52.4,5.0385
IA-3,Premonsoon,TH,39.0,200,2,0.038462,19.5,0.75
IA-3,Premonsoon,Alkalinity,113.0,200,2,0.038462,56.5,2.1731
IA-3,Premonsoon,Ca,33.5,75,2,0.038462,44.6667,1.7179
IA-3,Premonsoon,Mg,7.06,30,2,0.038462,23.5333,0.9051
IA-3,Premonsoon,Na,32.74,200,3,0.057692,16.37,0.9444
IA-3,Premonsoon,K,6.37,12,2,0.038462,53.0833,2.0417
IA-3,Premonsoon,Iron,0.26,0.3,4,0.076923,86.6667,6.6667
IA-3,Premonsoon,HCO3,76.1,300,1,0.019231,25.3667,0.4878
IA-3,Premonsoon,Cl,58.13,250,3,0.057692,23.252,1.3415
IA-3,Premonsoon,SO4,19.09,200,4,0.076923,9.545,0.7342
IA-3,Premonsoon,NO3,22.66,45,5,0.096154,50.3556,4.8419
IA-3,Premonsoon,F,0.04,1.0,5,0.096154,4.0,0.3846
IA-3,Premonsoon,DO,6.79,6.0,4,0.076923,113.1667,8.7051
IA-3,Premonsoon,--- WQI_TOTAL ---,,,,,,46.7011
IA-4,Premonsoon,pH,6.57,8.5,4,0.076923,77.2941,5.9457
IA-4,Premonsoon,EC,395.0,750,4,0.076923,52.6667,4.0513
IA-4,Premonsoon,TDS,253.0,500,5,0.096154,50.6,4.8654
IA-4,Premonsoon,TH,36.0,200,2,0.038462,18.0,0.6923
IA-4,Premonsoon,Alkalinity,112.0,200,2,0.038462,56.0,2.1538
IA-4,Premonsoon,Ca,33.44,75,2,0.038462,44.5867,1.7149
IA-4,Premonsoon,Mg,6.95,30,2,0.038462,23.1667,0.891
IA-4,Premonsoon,Na,21.69,200,3,0.057692,10.845,0.6257
IA-4,Premonsoon,K,5.94,12,2,0.038462,49.5,1.9038
IA-4,Premonsoon,Iron,0.22,0.3,4,0.076923,73.3333,5.641
IA-4,Premonsoon,HCO3,111.38,300,1,0.019231,37.1267,0.714
IA-4,Premonsoon,Cl,41.79,250,3,0.057692,16.716,0.9644
IA-4,Premonsoon,SO4,15.71,200,4,0.076923,7.855,0.6042
IA-4,Premonsoon,NO3,9.85,45,5,0.096154,21.8889,2.1047
IA-4,Premonsoon,F,0.08,1.0,5,0.096154,8.0,0.7692
IA-4,Premonsoon,DO,6.54,6.0,4,0.076923,109.0,8.3846
IA-4,Premonsoon,--- WQI_TOTAL ---,,,,,,42.0261
IA-5,Premonsoon,pH,5.35,8.5,4,0.076923,62.9412,4.8416
IA-5,Premonsoon,EC,350.0,750,4,0.076923,46.6667,3.5897
IA-5,Premonsoon,TDS,224.0,500,5,0.096154,44.8,4.3077
IA-5,Premonsoon,TH,11.0,200,2,0.038462,5.5,0.2115
IA-5,Premonsoon,Alkalinity,105.0,200,2,0.038462,52.5,2.0192
IA-5,Premonsoon,Ca,31.53,75,2,0.038462,42.04,1.6169
IA-5,Premonsoon,Mg,6.39,30,2,0.038462,21.3,0.8192
IA-5,Premonsoon,Na,20.37,200,3,0.057692,10.185,0.5876
IA-5,Premonsoon,K,5.53,12,2,0.038462,46.0833,1.7724
IA-5,Premonsoon,Iron,0.22,0.3,4,0.076923,73.3333,5.641
IA-5,Premonsoon,HCO3,83.89,300,1,0.019231,27.9633,0.5378
IA-5,Premonsoon,Cl,35.01,250,3,0.057692,14.004,0.8079
IA-5,Premonsoon,SO4,12.08,200,4,0.076923,6.04,0.4646
IA-5,Premonsoon,NO3,13.39,45,5,0.096154,29.7556,2.8611
IA-5,Premonsoon,F,0.03,1.0,5,0.096154,3.0,0.2885
IA-5,Premonsoon,DO,6.39,6.0,4,0.076923,106.5,8.1923
IA-5,Premonsoon,--- WQI_TOTAL ---,,,,,,38.5592
DY-1,Premonsoon,pH,5.44,8.5,4,0.076923,64.0,4.9231
DY-1,Premonsoon,EC,425.0,750,4,0.076923,56.6667,4.359
DY-1,Premonsoon,TDS,272.0,500,5,0.096154,54.4,5.2308
DY-1,Premonsoon,TH,9.0,200,2,0.038462,4.5,0.1731
DY-1,Premonsoon,Alkalinity,118.0,200,2,0.038462,59.0,2.2692
DY-1,Premonsoon,Ca,34.15,75,2,0.038462,45.5333,1.7513
DY-1,Premonsoon,Mg,8.07,30,2,0.038462,26.9,1.0346
DY-1,Premonsoon,Na,22.45,200,3,0.057692,11.225,0.6476
DY-1,Premonsoon,K,7.63,12,2,0.038462,63.5833,2.4455
DY-1,Premonsoon,Iron,0.32,0.3,4,0.076923,106.6667,8.2051
DY-1,Premonsoon,HCO3,122.79,300,1,0.019231,40.93,0.7871
DY-1,Premonsoon,Cl,32.1,250,3,0.057692,12.84,0.7408
DY-1,Premonsoon,SO4,15.7,200,4,0.076923,7.85,0.6038
DY-1,Premonsoon,NO3,19.74,45,5,0.096154,43.8667,4.2179
DY-1,Premonsoon,F,0.04,1.0,5,0.096154,4.0,0.3846
DY-1,Premonsoon,DO,7.36,6.0,4,0.076923,122.6667,9.4359
DY-1,Premonsoon,--- WQI_TOTAL ---,,,,,,47.2095
DY-2,Premonsoon,pH,6.61,8.5,4,0.076923,77.7647,5.9819
DY-2,Premonsoon,EC,488.0,750,4,0.076923,65.0667,5.0051
DY-2,Premonsoon,TDS,312.0,500,5,0.096154,62.4,6.0
DY-2,Premonsoon,TH,38.0,200,2,0.038462,19.0,0.7308
DY-2,Premonsoon,Alkalinity,124.0,200,2,0.038462,62.0,2.3846
DY-2,Premonsoon,Ca,34.32,75,2,0.038462,45.76,1.76
DY-2,Premonsoon,Mg,9.4,30,2,0.038462,31.3333,1.2051
DY-2,Premonsoon,Na,31.15,200,3,0.057692,15.575,0.8986
DY-2,Premonsoon,K,9.17,12,2,0.038462,76.4167,2.9391
DY-2,Premonsoon,Iron,0.34,0.3,4,0.076923,113.3333,8.7179
DY-2,Premonsoon,HCO3,119.11,300,1,0.019231,39.7033,0.7635
DY-2,Premonsoon,Cl,55.48,250,3,0.057692,22.192,1.2803
DY-2,Premonsoon,SO4,25.4,200,4,0.076923,12.7,0.9769
DY-2,Premonsoon,NO3,25.32,45,5,0.096154,56.2667,5.4103
DY-2,Premonsoon,F,0.06,1.0,5,0.096154,6.0,0.5769
DY-2,Premonsoon,DO,5.39,6.0,4,0.076923,89.8333,6.9103
DY-2,Premonsoon,--- WQI_TOTAL ---,,,,,,51.5413
DY-3,Premonsoon,pH,6.87,8.5,4,0.076923,80.8235,6.2172
DY-3,Premonsoon,EC,395.0,750,4,0.076923,52.6667,4.0513
DY-3,Premonsoon,TDS,253.0,500,5,0.096154,50.6,4.8654
DY-3,Premonsoon,TH,35.0,200,2,0.038462,17.5,0.6731
DY-3,Premonsoon,Alkalinity,119.0,200,2,0.038462,59.5,2.2885
DY-3,Premonsoon,Ca,32.88,75,2,0.038462,43.84,1.6862
DY-3,Premonsoon,Mg,8.97,30,2,0.038462,29.9,1.15
DY-3,Premonsoon,Na,25.31,200,3,0.057692,12.655,0.7301
DY-3,Premonsoon,K,7.62,12,2,0.038462,63.5,2.4423
DY-3,Premonsoon,Iron,0.23,0.3,4,0.076923,76.6667,5.8974
DY-3,Premonsoon,HCO3,89.53,300,1,0.019231,29.8433,0.5739
DY-3,Premonsoon,Cl,35.45,250,3,0.057692,14.18,0.8181
DY-3,Premonsoon,SO4,24.8,200,4,0.076923,12.4,0.9538
DY-3,Premonsoon,NO3,18.98,45,5,0.096154,42.1778,4.0556
DY-3,Premonsoon,F,0.07,1.0,5,0.096154,7.0,0.6731
DY-3,Premonsoon,DO,7.11,6.0,4,0.076923,118.5,9.1154
DY-3,Premonsoon,--- WQI_TOTAL ---,,,,,,46.1912
DY-4,Premonsoon,pH,5.81,8.5,4,0.076923,68.3529,5.2579
DY-4,Premonsoon,EC,463.0,750,4,0.076923,61.7333,4.7487
DY-4,Premonsoon,TDS,296.0,500,5,0.096154,59.2,5.6923
DY-4,Premonsoon,TH,14.0,200,2,0.038462,7.0,0.2692
DY-4,Premonsoon,Alkalinity,123.0,200,2,0.038462,61.5,2.3654
DY-4,Premonsoon,Ca,35.19,75,2,0.038462,46.92,1.8046
DY-4,Premonsoon,Mg,8.6,30,2,0.038462,28.6667,1.1026
DY-4,Premonsoon,Na,33.03,200,3,0.057692,16.515,0.9528
DY-4,Premonsoon,K,7.79,12,2,0.038462,64.9167,2.4968
DY-4,Premonsoon,Iron,0.39,0.3,4,0.076923,130.0,10.0
DY-4,Premonsoon,HCO3,98.33,300,1,0.019231,32.7767,0.6303
DY-4,Premonsoon,Cl,45.45,250,3,0.057692,18.18,1.0488
DY-4,Premonsoon,SO4,21.65,200,4,0.076923,10.825,0.8327
DY-4,Premonsoon,NO3,42.86,45,5,0.096154,95.2444,9.1581
DY-4,Premonsoon,F,0.07,1.0,5,0.096154,7.0,0.6731
DY-4,Premonsoon,DO,5.62,6.0,4,0.076923,93.6667,7.2051
DY-4,Premonsoon,--- WQI_TOTAL ---,,,,,,54.2385
DY-5,Premonsoon,pH,5.96,8.5,4,0.076923,70.1176,5.3937
DY-5,Premonsoon,EC,402.0,750,4,0.076923,53.6,4.1231
DY-5,Premonsoon,TDS,257.0,500,5,0.096154,51.4,4.9423
DY-5,Premonsoon,TH,30.0,200,2,0.038462,15.0,0.5769
DY-5,Premonsoon,Alkalinity,109.0,200,2,0.038462,54.5,2.0962
DY-5,Premonsoon,Ca,33.46,75,2,0.038462,44.6133,1.7159
DY-5,Premonsoon,Mg,6.18,30,2,0.038462,20.6,0.7923
DY-5,Premonsoon,Na,26.57,200,3,0.057692,13.285,0.7664
DY-5,Premonsoon,K,8.32,12,2,0.038462,69.3333,2.6667
DY-5,Premonsoon,Iron,0.24,0.3,4,0.076923,80.0,6.1538
DY-5,Premonsoon,HCO3,85.43,300,1,0.019231,28.4767,0.5476
DY-5,Premonsoon,Cl,49.48,250,3,0.057692,19.792,1.1418
DY-5,Premonsoon,SO4,7.1,200,4,0.076923,3.55,0.2731
DY-5,Premonsoon,NO3,37.17,45,5,0.096154,82.6,7.9423
DY-5,Premonsoon,F,0.05,1.0,5,0.096154,5.0,0.4808
DY-5,Premonsoon,DO,5.2,6.0,4,0.076923,86.6667,6.6667
DY-5,Premonsoon,--- WQI_TOTAL ---,,,,,,46.2796
PD-1,Monsoon,pH,5.85,8.5,4,0.076923,68.8235,5.2941
PD-1,Monsoon,EC,668.92,750,4,0.076923,89.1893,6.8607
PD-1,Monsoon,TDS,428.1088,500,5,0.096154,85.6218,8.2329
PD-1,Monsoon,TH,111.0,200,2,0.038462,55.5,2.1346
PD-1,Monsoon,Alkalinity,69.0,200,2,0.038462,34.5,1.3269
PD-1,Monsoon,Ca,40.39,75,2,0.038462,53.8533,2.0713
PD-1,Monsoon,Mg,9.81,30,2,0.038462,32.7,1.2577
PD-1,Monsoon,Na,80.31,200,3,0.057692,40.155,2.3166
PD-1,Monsoon,K,12.15,12,2,0.038462,101.25,3.8942
PD-1,Monsoon,Iron,0.1,0.3,4,0.076923,33.3333,2.5641
PD-1,Monsoon,HCO3,146.7,300,1,0.019231,48.9,0.9404
PD-1,Monsoon,Cl,60.87,250,3,0.057692,24.348,1.4047
PD-1,Monsoon,SO4,28.92,200,4,0.076923,14.46,1.1123
PD-1,Monsoon,NO3,38.38,45,5,0.096154,85.2889,8.2009
PD-1,Monsoon,F,0.2,1.0,5,0.096154,20.0,1.9231
PD-1,Monsoon,DO,7.27,6.0,4,0.076923,121.1667,9.3205
PD-1,Monsoon,--- WQI_TOTAL ---,,,,,,58.855
PD-2,Monsoon,pH,6.74,8.5,4,0.076923,79.2941,6.0995
PD-2,Monsoon,EC,569.52,750,4,0.076923,75.936,5.8412
PD-2,Monsoon,TDS,370.188,500,5,0.096154,74.0376,7.119
PD-2,Monsoon,TH,74.0,200,2,0.038462,37.0,1.4231
PD-2,Monsoon,Alkalinity,97.0,200,2,0.038462,48.5,1.8654
PD-2,Monsoon,Ca,34.16,75,2,0.038462,45.5467,1.7518
PD-2,Monsoon,Mg,11.28,30,2,0.038462,37.6,1.4462
PD-2,Monsoon,Na,50.78,200,3,0.057692,25.39,1.4648
PD-2,Monsoon,K,18.75,12,2,0.038462,156.25,6.0096
PD-2,Monsoon,Iron,0.38,0.3,4,0.076923,126.6667,9.7436
PD-2,Monsoon,HCO3,181.42,300,1,0.019231,60.4733,1.1629
PD-2,Monsoon,Cl,43.15,250,3,0.057692,17.26,0.9958
PD-2,Monsoon,SO4,11.07,200,4,0.076923,5.535,0.4258
PD-2,Monsoon,NO3,3.5,45,5,0.096154,7.7778,0.7479
PD-2,Monsoon,F,0.08,1.0,5,0.096154,8.0,0.7692
PD-2,Monsoon,DO,6.47,6.0,4,0.076923,107.8333,8.2949
PD-2,Monsoon,--- WQI_TOTAL ---,,,,,,55.1607
PD-3,Monsoon,pH,6.04,8.5,4,0.076923,71.0588,5.4661
PD-3,Monsoon,EC,616.86,750,4,0.076923,82.248,6.3268
PD-3,Monsoon,TDS,400.959,500,5,0.096154,80.1918,7.7108
PD-3,Monsoon,TH,249.0,200,2,0.038462,124.5,4.7885
PD-3,Monsoon,Alkalinity,34.0,200,2,0.038462,17.0,0.6538
PD-3,Monsoon,Ca,68.89,75,2,0.038462,91.8533,3.5328
PD-3,Monsoon,Mg,8.45,30,2,0.038462,28.1667,1.0833
PD-3,Monsoon,Na,30.06,200,3,0.057692,15.03,0.8671
PD-3,Monsoon,K,6.56,12,2,0.038462,54.6667,2.1026
PD-3,Monsoon,Iron,0.29,0.3,4,0.076923,96.6667,7.4359
PD-3,Monsoon,HCO3,56.69,300,1,0.019231,18.8967,0.3634
PD-3,Monsoon,Cl,152.59,250,3,0.057692,61.036,3.5213
PD-3,Monsoon,SO4,30.38,200,4,0.076923,15.19,1.1685
PD-3,Monsoon,NO3,36.75,45,5,0.096154,81.6667,7.8526
PD-3,Monsoon,F,0.06,1.0,5,0.096154,6.0,0.5769
PD-3,Monsoon,DO,4.49,6.0,4,0.076923,74.8333,5.7564
PD-3,Monsoon,--- WQI_TOTAL ---,,,,,,59.2067
PD-4,Monsoon,pH,5.75,8.5,4,0.076923,67.6471,5.2036
PD-4,Monsoon,EC,594.37,750,4,0.076923,79.2493,6.0961
PD-4,Monsoon,TDS,386.3405,500,5,0.096154,77.2681,7.4296
PD-4,Monsoon,TH,111.0,200,2,0.038462,55.5,2.1346
PD-4,Monsoon,Alkalinity,117.0,200,2,0.038462,58.5,2.25
PD-4,Monsoon,Ca,49.61,75,2,0.038462,66.1467,2.5441
PD-4,Monsoon,Mg,6.4,30,2,0.038462,21.3333,0.8205
PD-4,Monsoon,Na,43.98,200,3,0.057692,21.99,1.2687
PD-4,Monsoon,K,7.23,12,2,0.038462,60.25,2.3173
PD-4,Monsoon,Iron,0.18,0.3,4,0.076923,60.0,4.6154
PD-4,Monsoon,HCO3,167.0,300,1,0.019231,55.6667,1.0705
PD-4,Monsoon,Cl,55.99,250,3,0.057692,22.396,1.2921
PD-4,Monsoon,SO4,7.1,200,4,0.076923,3.55,0.2731
PD-4,Monsoon,NO3,11.23,45,5,0.096154,24.9556,2.3996
PD-4,Monsoon,F,0.03,1.0,5,0.096154,3.0,0.2885
PD-4,Monsoon,DO,6.39,6.0,4,0.076923,106.5,8.1923
PD-4,Monsoon,--- WQI_TOTAL ---,,,,,,48.1959
PD-5,Monsoon,pH,6.87,8.5,4,0.076923,80.8235,6.2172
PD-5,Monsoon,EC,626.89,750,4,0.076923,83.5853,6.4296
PD-5,Monsoon,TDS,407.4785,500,5,0.096154,81.4957,7.8361
PD-5,Monsoon,TH,259.0,200,2,0.038462,129.5,4.9808
PD-5,Monsoon,Alkalinity,34.0,200,2,0.038462,17.0,0.6538
PD-5,Monsoon,Ca,53.47,75,2,0.038462,71.2933,2.7421
PD-5,Monsoon,Mg,14.07,30,2,0.038462,46.9,1.8038
PD-5,Monsoon,Na,25.75,200,3,0.057692,12.875,0.7428
PD-5,Monsoon,K,19.47,12,2,0.038462,162.25,6.2404
PD-5,Monsoon,Iron,0.26,0.3,4,0.076923,86.6667,6.6667
PD-5,Monsoon,HCO3,170.22,300,1,0.019231,56.74,1.0912
PD-5,Monsoon,Cl,48.45,250,3,0.057692,19.38,1.1181
PD-5,Monsoon,SO4,17.93,200,4,0.076923,8.965,0.6896
PD-5,Monsoon,NO3,27.03,45,5,0.096154,60.0667,5.7756
PD-5,Monsoon,F,0.2,1.0,5,0.096154,20.0,1.9231
PD-5,Monsoon,DO,4.75,6.0,4,0.076923,79.1667,6.0897
PD-5,Monsoon,--- WQI_TOTAL ---,,,,,,61.0006
IA-1,Monsoon,pH,5.55,8.5,4,0.076923,65.2941,5.0226
IA-1,Monsoon,EC,710.0,750,4,0.076923,94.6667,7.2821
IA-1,Monsoon,TDS,461.5,500,5,0.096154,92.3,8.875
IA-1,Monsoon,TH,167.0,200,2,0.038462,83.5,3.2115
IA-1,Monsoon,Alkalinity,33.0,200,2,0.038462,16.5,0.6346
IA-1,Monsoon,Ca,52.25,75,2,0.038462,69.6667,2.6795
IA-1,Monsoon,Mg,8.63,30,2,0.038462,28.7667,1.1064
IA-1,Monsoon,Na,76.16,200,3,0.057692,38.08,2.1969
IA-1,Monsoon,K,15.16,12,2,0.038462,126.3333,4.859
IA-1,Monsoon,Iron,0.12,0.3,4,0.076923,40.0,3.0769
IA-1,Monsoon,HCO3,73.49,300,1,0.019231,24.4967,0.4711
IA-1,Monsoon,Cl,107.14,250,3,0.057692,42.856,2.4725
IA-1,Monsoon,SO4,19.22,200,4,0.076923,9.61,0.7392
IA-1,Monsoon,NO3,95.15,45,5,0.096154,211.4444,20.3312
IA-1,Monsoon,F,0.09,1.0,5,0.096154,9.0,0.8654
IA-1,Monsoon,DO,2.89,6.0,4,0.076923,48.1667,3.7051
IA-1,Monsoon,--- WQI_TOTAL ---,,,,,,67.529
IA-2,Monsoon,pH,4.78,8.5,4,0.076923,56.2353,4.3258
IA-2,Monsoon,EC,469.64,750,4,0.076923,62.6187,4.8168
IA-2,Monsoon,TDS,305.266,500,5,0.096154,61.0532,5.8705
IA-2,Monsoon,TH,62.0,200,2,0.038462,31.0,1.1923
IA-2,Monsoon,Alkalinity,64.0,200,2,0.038462,32.0,1.2308
IA-2,Monsoon,Ca,30.87,75,2,0.038462,41.16,1.5831
IA-2,Monsoon,Mg,5.66,30,2,0.038462,18.8667,0.7256
