Sl_No,Sites,Areas,Location_ID,Latitude,Longitude,Season,pH,EC,TDS,TH,Alkalinity,Ca,Mg,Na,K,Iron,HCO3,Cl,SO4,NO3,F,DO,CBE,TCC_meq,TCA_meq,CBE_Valid
11,"Dumping 
Yard",Bhuasuni Temple Area,DY-1,20.388678,85.792107,Premonsoon,5.44,425.0,272.0,9.0,118.0,34.15,8.07,22.45,7.63,0.32,122.79,32.1,15.7,19.74,0.04,7.36,-0.32544489602945775,3.539941538943861,3.5630578880439945,True
12,"Dumping 
Yard",Lingaraj Railway Station,DY-2,20.235861,85.83582,Premonsoon,6.61,488.0,312.0,38.0,124.0,34.32,9.4,31.15,9.17,0.34,119.11,55.48,25.4,25.32,0.06,5.39,-4.437624149283379,4.0757011850592875,4.45422735381708,True
13,"Dumping 
Yard","BMC Micro 
Composting",DY-3,20.284301,85.833995,Premonsoon,6.87,395.0,253.0,35.0,119.0,32.88,8.97,25.31,7.62,0.23,89.53,35.45,24.8,18.98,0.07,7.11,5.529362958192606,3.674788518924816,3.2896968449840913,True
14,"Dumping 
Yard",Gadakan Road,DY-4,20.326795,85.835968,Premonsoon,5.81,463.0,296.0,14.0,123.0,35.19,8.6,33.03,7.79,0.39,98.33,45.45,21.65,42.86,0.07,5.62,0.7888399988293431,4.099751304311245,4.03557658389317,True
15,"Dumping 
Yard",Daruthenga,DY-5,20.382316,85.795063,Premonsoon,5.96,402.0,257.0,30.0,109.0,33.46,6.18,26.57,8.32,0.24,85.43,49.48,7.1,37.17,0.05,5.2,0.05174063126010828,3.546810255944439,3.5431418699584576,True
1,Population Density,Acharya Vihar,PD-1,20.303531,85.826217,Monsoon,5.85,668.92,428.1088,111.0,69.0,40.39,9.81,80.31,12.15,0.1,146.7,60.87,28.92,38.38,0.2,7.27,10.731887376759843,6.6268760954972095,5.34235201482947,False
2,Population Density,Ram Mandir,PD-2,20.278197,85.840284,Monsoon,6.74,569.52,370.188,74.0,97.0,34.16,11.28,50.78,18.75,0.38,181.42,43.15,11.07,3.5,0.08,6.47,8.613991857667141,5.321311950917525,4.477263462627391,True
3,Population Density,Sailashree Vihar,PD-3,20.337294,85.810481,Monsoon,6.04,616.86,400.959,249.0,34.0,68.89,8.45,30.06,6.56,0.29,56.69,152.59,30.38,36.75,0.06,4.49,-7.0462598970210495,5.608397948463483,6.458675290870858,True
4,Population Density,OMFED Square,PD-4,20.323147,85.82309,Monsoon,5.75,594.37,386.3405,111.0,117.0,49.61,6.4,43.98,7.23,0.18,167.0,55.99,7.1,11.23,0.03,6.39,4.66934451022061,5.100214013954977,4.645168529177235,True
5,Population Density,Old Town Bhubaneswar,PD-5,20.228015,85.833273,Monsoon,6.87,626.89,407.4785,259.0,34.0,53.47,14.07,25.75,19.47,0.26,170.22,48.45,17.93,27.03,0.2,4.75,4.597872540913766,5.444194524814309,4.965566959932517,True
6,Industrial areas,Mancheswar Industrial Estate,IA-1,20.305158,85.857224,Monsoon,5.55,710.0,461.5,167.0,33.0,52.25,8.63,76.16,15.16,0.12,73.49,107.14,19.22,95.15,0.09,2.89,6.499122734825974,7.018041951747925,6.161488116724602,True
7,Industrial areas,Chandaka Industrial Estate,IA-2,20.347449,85.814168,Monsoon,4.78,469.64,305.266,62.0,64.0,30.87,5.66,47.69,19.21,0.5,62.94,54.54,30.08,42.5,0.21,5.1,8.164709820621795,4.5719472961911665,3.88172914554883,True
8,Industrial areas,OMFED Industries,IA-3,20.32916,85.826771,Monsoon,5.04,733.22,476.593,145.0,54.0,61.8,11.52,76.63,4.36,0.14,201.57,70.14,24.1,21.43,0.12,3.15,9.902680049439061,7.476677777641859,6.129319408738892,True
9,Industrial areas,Rasulgarh,IA-4,20.298776,85.866261,Monsoon,6.16,617.92,401.64799999999997,160.0,79.0,48.47,11.14,43.44,6.39,0.55,87.44,148.53,19.9,29.82,0.04,3.3,-9.487438935420114,5.388479393991872,6.51810977023969,True
10,Industrial areas,Anmol Industries Dabua,IA-5,20.36326,85.753206,Monsoon,5.547215253890415,656.18,426.517,111.0,87.0,41.45,10.54,48.95,19.17,0.46,132.04,130.32,21.22,16.67,0.05,6.56,-8.222352476856136,5.555320918181338,6.550722477146342,True
11,"Dumping 
Yard",Bhuasuni Temple Area,DY-1,20.388678,85.792107,Monsoon,5.76,585.9,380.835,45.0,63.0,40.14,8.46,58.26,12.66,0.27,196.6,29.94,14.94,19.34,0.15,6.85,8.468750201850634,5.557220755069517,4.689455351602731,True
12,"Dumping 
Yard",Lingaraj Railway Station,DY-2,20.235861,85.83582,Monsoon,5.52,695.31,451.95149999999995,151.0,45.0,60.74,13.07,57.95,12.34,0.34,82.1,131.57,32.05,12.13,0.15,6.04,7.953972708607866,6.942920468404246,5.919821483936415,True
13,"Dumping 
Yard","BMC Micro 
Composting",DY-3,20.284301,85.833995,Monsoon,6.77,545.46,354.54900000000004,110.0,125.0,46.61,6.61,28.68,17.53,0.58,65.62,130.78,15.45,17.8,0.13,2.3,-8.125331255470467,4.565717733682526,5.373295480891662,True
14,"Dumping 
Yard",Gadakan Road,DY-4,20.326795,85.835968,Monsoon,5.49,785.59,510.6335,179.0,122.0,61.62,8.78,71.8,19.59,0.27,238.22,57.45,22.72,26.27,0.03,4.93,7.226070403328711,7.4216040608550635,6.421305658654099,True
15,"Dumping 
Yard",Daruthenga,DY-5,20.382316,85.795063,Monsoon,5.66,637.62,414.45300000000003,274.0,109.0,50.21,12.05,57.55,19.7,0.3,112.41,92.65,32.13,7.34,0.05,4.86,10.736737341527435,6.504357174368023,5.243067087027153,False
1,Population Density,Acharya Vihar,PD-1,20.303531,85.826217,Postmonsoon,5.23,453.03,294.4695,221.0,50.0,35.75,2.86,29.51,8.33,0.28,98.58,37.22,22.86,51.94,0.15,5.13,-6.179903922563143,3.5159681263896867,3.979159833163224,True
2,Population Density,Ram Mandir,PD-2,20.278197,85.840284,Postmonsoon,6.35,375.09,243.80849999999998,170.0,74.0,20.98,15.37,10.64,3.43,0.25,87.12,42.18,12.78,26.41,0.16,6.02,-7.244949023122589,2.86246046627805,3.3096249050978397,True
3,Population Density,Sailashree Vihar,PD-3,20.337294,85.810481,Postmonsoon,6.26,330.33,214.7145,126.0,46.0,17.11,16.66,19.77,3.3,0.45,58.25,57.52,7.86,17.94,0.19,6.73,2.2445252508185654,3.1693239117478607,3.030174602178658,True
4,Population Density,OMFED Square,PD-4,20.323147,85.82309,Postmonsoon,6.19,325.67,211.68550000000002,74.0,48.0,12.08,7.18,27.96,7.42,0.26,15.75,50.23,27.84,53.33,0.09,5.45,-9.014649536706747,2.5996916824454894,3.1148363579653635,True
5,Population Density,Old Town Bhubaneswar,PD-5,20.228015,85.833273,Postmonsoon,5.14,476.06,309.439,210.0,28.0,64.62,2.8,8.64,4.21,0.33,140.58,35.95,9.53,13.62,0.04,7.01,2.638045956656902,3.938491779359633,3.7360342556017527,True
6,Industrial areas,Mancheswar Industrial Estate,IA-1,20.305158,85.857224,Postmonsoon,5.68,526.84,342.446,234.0,71.0,47.78,15.13,21.37,7.17,0.32,61.89,146.38,11.77,17.98,0.2,7.28,-8.982886557443008,4.74240956596965,5.678508845077729,True
7,Industrial areas,Chandaka Industrial Estate,IA-2,20.347449,85.814168,Postmonsoon,6.03,432.02,280.813,180.0,73.0,44.37,10.0781645371098,17.3,10.23,0.14,25.35,120.84,7.5,25.62,0.04,6.65,-3.9742309762400194,4.05768833508633,4.393560483514274,True
8,Industrial areas,OMFED Industries,IA-3,20.32916,85.826771,Postmonsoon,6.18,680.23,442.14950000000005,203.0,99.0,61.57,8.08,39.22,16.73,0.46,53.18,150.46,29.84,62.73,0.24,5.45,-6.95436401463351,5.871212216062185,6.74885782566565,True
9,Industrial areas,Rasulgarh,IA-4,20.298776,85.866261,Postmonsoon,5.92,458.12,297.778,90.0,20.0,42.65,9.0,24.7,2.95,0.54,86.07,94.95,10.04,8.73,0.11,5.1,-4.965618324117194,4.0188119893365295,4.438783921673426,True
10,Industrial areas,Anmol Industries Dabua,IA-5,20.36326,85.753206,Postmonsoon,6.41,553.276324309217,359.62961080099103,234.0,104.0,62.74,19.34,21.01,5.58,0.05,93.03,93.73,24.78,27.59,0.17,5.25,5.9547401282376065,5.779094665807775,5.129515291261262,True
11,"Dumping 
Yard",Bhuasuni Temple Area,DY-1,20.388678,85.792107,Postmonsoon,6.46,403.92,262.548,118.0,10.0,39.31,2.4,20.06,4.89,0.2,25.79,70.86,26.17,57.06,0.05,5.83,-10.364053519569909,3.1567249331603797,3.8867103338495506,False
12,"Dumping 
Yard",Lingaraj Railway Station,DY-2,20.235861,85.83582,Postmonsoon,6.33,415.84,270.296,121.0,17.0,41.18,14.35,15.34,8.54,0.48,83.32,50.96,25.78,18.59,0.09,7.22,6.2112078117055125,4.121621129628371,3.6395581555847443,True
13,"Dumping 
Yard","BMC Micro 
Composting",DY-3,20.284301,85.833995,Postmonsoon,5.11,352.75,229.2875,53.0,53.0,20.6,6.49,31.22,7.42,0.12,18.47,91.59,30.76,15.21,0.03,5.77,-9.622733195063505,3.1098520425366103,3.7720822147776354,True
14,"Dumping 
Yard",Gadakan Road,DY-4,20.326795,85.835968,Postmonsoon,5.85,385.95,250.8675,128.0,104.0,31.33,6.08,26.36,1.43,0.32,15.16,79.31,22.52,61.52,0.18,6.1,-9.728818530148638,3.246943138096658,3.9468103615871084,True
15,"Dumping 
Yard",Daruthenga,DY-5,20.382316,85.795063,Postmonsoon,6.58,546.67,355.33549999999997,237.0,41.0,46.82,19.95,33.4,8.76,0.13,121.11,70.39,11.5,36.07,0.23,6.15,8.266401583221542,5.655149142305572,4.791580516403196,True
