Sl_No,Sites,Areas,Location_ID,Latitude,Longitude,Season,pH,EC,TDS,TH,Alkalinity,Ca,Mg,Na,K,Iron,HCO3,Cl,SO4,NO3,F,DO,Data_Type
12,"Dumping 
Yard",Lingaraj Railway Station,DY-2,20.235861,85.83582,Premonsoon,6.61,488.0,312.0,38.0,124.0,34.32,9.4,31.15,9.17,0.34,119.11,55.48,25.4,25.32,0.06,5.39,Original
13,"Dumping 
Yard","BMC Micro 
Composting",DY-3,20.284301,85.833995,Premonsoon,6.87,395.0,253.0,35.0,119.0,32.88,8.97,25.31,7.62,0.23,89.53,35.45,24.8,18.98,0.07,7.11,Original
14,"Dumping 
Yard",Gadakan Road,DY-4,20.326795,85.835968,Premonsoon,5.81,463.0,296.0,14.0,123.0,35.19,8.6,33.03,7.79,0.39,98.33,45.45,21.65,42.86,0.07,5.62,Original
15,"Dumping 
Yard",Daruthenga,DY-5,20.382316,85.795063,Premonsoon,5.96,402.0,257.0,30.0,109.0,33.46,6.18,26.57,8.32,0.24,85.43,49.48,7.1,37.17,0.05,5.2,Original
1,Population Density,Acharya Vihar,PD-1,20.303531,85.826217,Monsoon,5.85,668.92,428.1088,111.0,69.0,40.39,9.81,80.31,12.15,0.1,146.7,60.87,28.92,38.38,0.2,7.27,Original
2,Population Density,Ram Mandir,PD-2,20.278197,85.840284,Monsoon,6.74,569.52,370.188,74.0,97.0,34.16,11.28,50.78,18.75,0.38,181.42,43.15,11.07,3.5,0.08,6.47,Original
3,Population Density,Sailashree Vihar,PD-3,20.337294,85.810481,Monsoon,6.04,616.86,400.959,249.0,34.0,68.89,8.45,30.06,6.56,0.29,56.69,152.59,30.38,36.75,0.06,4.49,Original
4,Population Density,OMFED Square,PD-4,20.323147,85.82309,Monsoon,5.75,594.37,386.3405,111.0,117.0,49.61,6.4,43.98,7.23,0.18,167.0,55.99,7.1,11.23,0.03,6.39,Original
5,Population Density,Old Town Bhubaneswar,PD-5,20.228015,85.833273,Monsoon,6.87,626.89,407.4785,259.0,34.0,53.47,14.07,25.75,19.47,0.26,170.22,48.45,17.93,27.03,0.2,4.75,Original
6,Industrial areas,Mancheswar Industrial Estate,IA-1,20.305158,85.857224,Monsoon,5.55,710.0,461.5,167.0,33.0,52.25,8.63,76.16,15.16,0.12,73.49,107.14,19.22,95.15,0.09,2.89,Original
7,Industrial areas,Chandaka Industrial Estate,IA-2,20.347449,85.814168,Monsoon,4.78,469.64,305.266,62.0,64.0,30.87,5.66,47.69,19.21,0.5,62.94,54.54,30.08,42.5,0.21,5.1,Original
8,Industrial areas,OMFED Industries,IA-3,20.32916,85.826771,Monsoon,5.04,733.22,476.593,145.0,54.0,61.8,11.52,76.63,4.36,0.14,201.57,70.14,24.1,21.43,0.12,3.15,Original
9,Industrial areas,Rasulgarh,IA-4,20.298776,85.866261,Monsoon,6.16,617.92,401.64799999999997,160.0,79.0,48.47,11.14,43.44,6.39,0.55,87.44,148.53,19.9,29.82,0.04,3.3,Original
10,Industrial areas,Anmol Industries Dabua,IA-5,20.36326,85.753206,Monsoon,5.547215253890415,656.18,426.517,111.0,87.0,41.45,10.54,48.95,19.17,0.46,132.04,130.32,21.22,16.67,0.05,6.56,Original
11,"Dumping 
Yard",Bhuasuni Temple Area,DY-1,20.388678,85.792107,Monsoon,5.76,585.9,380.835,45.0,63.0,40.14,8.46,58.26,12.66,0.27,196.6,29.94,14.94,19.34,0.15,6.85,Original
12,"Dumping 
Yard",Lingaraj Railway Station,DY-2,20.235861,85.83582,Monsoon,5.52,695.31,451.95149999999995,151.0,45.0,60.74,13.07,57.95,12.34,0.34,82.1,131.57,32.05,12.13,0.15,6.04,Original
13,"Dumping 
Yard","BMC Micro 
Composting",DY-3,20.284301,85.833995,Monsoon,6.77,545.46,354.54900000000004,110.0,125.0,46.61,6.61,28.68,17.53,0.58,65.62,130.78,15.45,17.8,0.13,2.3,Original
14,"Dumping 
Yard",Gadakan Road,DY-4,20.326795,85.835968,Monsoon,5.49,785.59,510.6335,179.0,122.0,61.62,8.78,71.8,19.59,0.27,238.22,57.45,22.72,26.27,0.03,4.93,Original
15,"Dumping 
Yard",Daruthenga,DY-5,20.382316,85.795063,Monsoon,5.66,637.62,414.45300000000003,274.0,109.0,50.21,12.05,57.55,19.7,0.3,112.41,92.65,32.13,7.34,0.05,4.86,Original
1,Population Density,Acharya Vihar,PD-1,20.303531,85.826217,Postmonsoon,5.23,453.03,294.4695,221.0,50.0,35.75,2.86,29.51,8.33,0.28,98.58,37.22,22.86,51.94,0.15,5.13,Original
2,Population Density,Ram Mandir,PD-2,20.278197,85.840284,Postmonsoon,6.35,375.09,243.80849999999998,170.0,74.0,20.98,15.37,10.64,3.43,0.25,87.12,42.18,12.78,26.41,0.16,6.02,Original
3,Population Density,Sailashree Vihar,PD-3,20.337294,85.810481,Postmonsoon,6.26,330.33,214.7145,126.0,46.0,17.11,16.66,19.77,3.3,0.45,58.25,57.52,7.86,17.94,0.19,6.73,Original
4,Population Density,OMFED Square,PD-4,20.323147,85.82309,Postmonsoon,6.19,325.67,211.68550000000002,74.0,48.0,12.08,7.18,27.96,7.42,0.26,15.75,50.23,27.84,53.33,0.09,5.45,Original
5,Population Density,Old Town Bhubaneswar,PD-5,20.228015,85.833273,Postmonsoon,5.14,476.06,309.439,210.0,28.0,64.62,2.8,8.64,4.21,0.33,140.58,35.95,9.53,13.62,0.04,7.01,Original
6,Industrial areas,Mancheswar Industrial Estate,IA-1,20.305158,85.857224,Postmonsoon,5.68,526.84,342.446,234.0,71.0,47.78,15.13,21.37,7.17,0.32,61.89,146.38,11.77,17.98,0.2,7.28,Original
7,Industrial areas,Chandaka Industrial Estate,IA-2,20.347449,85.814168,Postmonsoon,6.03,432.02,280.813,180.0,73.0,44.37,10.0781645371098,17.3,10.23,0.14,25.35,120.84,7.5,25.62,0.04,6.65,Original
8,Industrial areas,OMFED Industries,IA-3,20.32916,85.826771,Postmonsoon,6.18,680.23,442.14950000000005,203.0,99.0,61.57,8.08,39.22,16.73,0.46,53.18,150.46,29.84,62.73,0.24,5.45,Original
9,Industrial areas,Rasulgarh,IA-4,20.298776,85.866261,Postmonsoon,5.92,458.12,297.778,90.0,20.0,42.65,9.0,24.7,2.95,0.54,86.07,94.95,10.04,8.73,0.11,5.1,Original
10,Industrial areas,Anmol Industries Dabua,IA-5,20.36326,85.753206,Postmonsoon,6.41,553.276324309217,359.62961080099103,234.0,104.0,62.74,19.34,21.01,5.58,0.05,93.03,93.73,24.78,27.59,0.17,5.25,Original
11,"Dumping 
Yard",Bhuasuni Temple Area,DY-1,20.388678,85.792107,Postmonsoon,6.46,403.92,262.548,118.0,10.0,39.31,2.4,20.06,4.89,0.2,25.79,70.86,26.17,57.06,0.05,5.83,Original
12,"Dumping 
Yard",Lingaraj Railway Station,DY-2,20.235861,85.83582,Postmonsoon,6.33,415.84,270.296,121.0,17.0,41.18,14.35,15.34,8.54,0.48,83.32,50.96,25.78,18.59,0.09,7.22,Original
13,"Dumping 
Yard","BMC Micro 
Composting",DY-3,20.284301,85.833995,Postmonsoon,5.11,352.75,229.2875,53.0,53.0,20.6,6.49,31.22,7.42,0.12,18.47,91.59,30.76,15.21,0.03,5.77,Original
14,"Dumping 
Yard",Gadakan Road,DY-4,20.326795,85.835968,Postmonsoon,5.85,385.95,250.8675,128.0,104.0,31.33,6.08,26.36,1.43,0.32,15.16,79.31,22.52,61.52,0.18,6.1,Original
15,"Dumping 
Yard",Daruthenga,DY-5,20.382316,85.795063,Postmonsoon,6.58,546.67,355.33549999999997,237.0,41.0,46.82,19.95,33.4,8.76,0.13,121.11,70.39,11.5,36.07,0.23,6.15,Original
1,Population Density,Acharya Vihar (Syn),SYN-PD-1,20.299913009464866,85.83279530948302,Premonsoon,5.98,371.37,237.62,27.67,106.72,32.04,6.48,23.59,5.71,0.202,94.31,41.6,5.44,15.44,0.061,6.59,Synthetic
2,Population Density,Ram Mandir (Syn),SYN-PD-2,20.26893715269431,85.84220939756963,Premonsoon,6.11,459.57,294.07,24.83,123.03,34.14,9.21,32.06,8.73,0.351,94.49,46.55,25.75,38.37,0.072,6.3,Synthetic
3,Population Density,Sailashree Vihar (Syn),SYN-PD-3,20.331894176745752,85.80289233771555,Premonsoon,6.27,399.89,256.0,23.31,119.63,33.49,8.76,26.99,5.61,0.301,109.16,32.89,20.54,12.58,0.078,7.22,Synthetic
4,Population Density,OMFED Square (Syn),SYN-PD-4,20.314686064032582,85.82701577551755,Premonsoon,5.2,380.51,243.55,8.75,111.87,32.9,7.33,18.53,7.06,0.308,110.48,30.13,13.57,12.05,0.04,6.75,Synthetic
5,Population Density,Old Town Bhubaneswar (Syn),SYN-PD-5,20.22481249927536,85.83776833543058,Premonsoon,5.64,354.16,226.89,31.85,107.17,32.28,6.47,26.07,4.71,0.155,67.98,46.83,8.0,23.08,0.047,6.1,Synthetic
6,Industrial areas,Mancheswar Industrial Estate (Syn),SYN-IA-1,20.296465126815978,85.85352980675661,Premonsoon,6.97,412.09,263.82,41.91,114.72,32.76,8.04,26.26,6.87,0.27,98.8,47.22,20.4,9.25,0.062,7.16,Synthetic
7,Industrial areas,Chandaka Industrial Estate (Syn),SYN-IA-2,20.348238825847506,85.81998246329677,Premonsoon,6.02,383.93,245.58,22.03,109.87,33.07,6.61,27.26,5.55,0.307,85.85,45.37,16.93,17.1,0.07,6.09,Synthetic
8,Industrial areas,OMFED Industries (Syn),SYN-IA-3,20.325535050058644,85.82928882752873,Premonsoon,7.0,398.23,254.75,43.05,111.72,33.94,6.52,33.13,6.07,0.221,61.59,58.31,15.37,27.5,0.066,6.51,Synthetic
9,Industrial areas,Rasulgarh (Syn),SYN-IA-4,20.306495554964723,85.86857826376364,Premonsoon,4.28,396.07,253.36,2.0,112.33,34.16,6.63,26.65,6.59,0.337,89.29,44.18,13.74,31.21,0.032,5.23,Synthetic
10,Industrial areas,Anmol Industries Dabua (Syn),SYN-IA-5,20.357919189495075,85.74369401563114,Premonsoon,5.56,387.65,248.1,16.21,114.43,33.72,7.37,25.7,7.34,0.268,70.74,42.44,20.21,31.49,0.053,5.73,Synthetic
11,"Dumping 
Yard",Bhuasuni Temple Area (Syn),SYN-DY-1,20.396079977478017,85.782532388217,Premonsoon,7.27,455.37,291.56,49.48,121.9,34.29,8.88,27.22,9.32,0.248,101.29,52.37,24.57,22.07,0.062,7.03,Synthetic
12,"Dumping 
Yard",Lingaraj Railway Station (Syn),SYN-DY-2,20.243355033453685,85.83639874268054,Premonsoon,6.06,399.09,255.1,37.44,108.2,33.12,6.1,33.82,5.49,0.237,79.97,57.92,4.57,34.2,0.071,4.97,Synthetic
13,"Dumping 
Yard","BMC Micro 
Composting (Syn)",SYN-DY-3,20.293082353970256,85.83997066471548,Premonsoon,5.61,387.84,248.0,12.89,109.59,32.89,6.69,23.41,5.66,0.322,107.01,36.45,12.38,16.3,0.054,6.23,Synthetic
14,"Dumping 
Yard",Gadakan Road (Syn),SYN-DY-4,20.336753682210666,85.83298223630902,Premonsoon,7.47,371.03,237.65,62.82,105.69,32.9,5.61,28.4,6.97,0.14,46.87,64.96,14.18,27.63,0.06,5.6,Synthetic
15,"Dumping 
Yard",Daruthenga (Syn),SYN-DY-5,20.387659765778622,85.79310161827219,Premonsoon,6.6,428.03,273.79,34.61,116.21,34.63,7.27,28.41,7.87,0.372,84.99,54.56,25.7,24.11,0.072,5.9,Synthetic
16,Synthetic Zone,Synthetic Area 1,SYN-X1,20.313450095363724,85.83567907965516,Premonsoon,6.19,444.75,284.77,31.74,114.45,33.89,7.26,31.72,5.48,0.287,109.32,54.07,16.48,21.96,0.083,6.69,Synthetic
17,Synthetic Zone,Synthetic Area 2,SYN-X2,20.352830244751964,85.87133688025325,Premonsoon,5.6,326.45,208.9,14.7,103.38,32.66,5.21,21.09,4.56,0.233,91.69,34.28,9.63,11.14,0.032,5.96,Synthetic
18,Synthetic Zone,Synthetic Area 3,SYN-X3,20.342289874719782,85.81470521155006,Premonsoon,5.36,335.08,214.24,8.16,105.67,32.62,5.81,23.82,4.69,0.232,73.32,34.17,7.16,24.43,0.05,5.57,Synthetic
19,Synthetic Zone,Synthetic Area 4,SYN-X4,20.307598233561038,85.84668676349222,Premonsoon,5.7,384.99,246.27,13.55,110.55,33.5,6.58,21.71,6.17,0.312,94.76,37.56,16.57,19.49,0.053,6.22,Synthetic
20,Synthetic Zone,Synthetic Area 5,SYN-X5,20.28934024791016,85.78397594464647,Premonsoon,7.13,400.46,256.22,39.1,116.06,33.64,7.83,23.67,6.75,0.224,98.77,41.61,19.48,13.57,0.078,6.36,Synthetic
21,Synthetic Zone,Synthetic Area 6,SYN-X6,20.30092474909741,85.80165243249873,Premonsoon,5.29,395.7,253.03,20.13,107.74,33.1,6.07,32.84,4.45,0.276,82.85,52.88,4.02,29.16,0.031,5.98,Synthetic
22,Synthetic Zone,Synthetic Area 7,SYN-X7,20.29509334537893,85.79628930843832,Premonsoon,6.17,447.37,286.38,28.49,117.75,33.4,8.36,28.4,7.58,0.302,108.71,48.83,22.49,20.92,0.048,6.92,Synthetic
23,Synthetic Zone,Synthetic Area 8,SYN-X8,20.269671852296966,85.77471592680666,Premonsoon,5.93,352.04,225.35,16.83,109.86,32.48,7.0,21.33,5.09,0.219,82.04,32.34,16.36,15.4,0.06,6.43,Synthetic
24,Synthetic Zone,Synthetic Area 9,SYN-X9,20.364234772306933,85.8157058467069,Premonsoon,6.55,395.22,252.42,20.27,111.14,33.36,6.82,20.83,7.52,0.244,101.44,34.09,10.36,24.98,0.091,6.06,Synthetic
25,Synthetic Zone,Synthetic Area 10,SYN-X10,20.3038951980493,85.84089326160263,Premonsoon,6.33,442.47,282.66,36.88,115.62,33.12,7.99,32.64,7.34,0.226,107.3,53.12,10.51,31.2,0.066,4.86,Synthetic
26,Synthetic Zone,Synthetic Area 11,SYN-X11,20.287287922119837,85.86792465172834,Premonsoon,6.13,491.04,313.93,27.57,121.82,34.8,8.57,32.32,8.37,0.369,121.38,55.17,23.08,31.31,0.057,5.63,Synthetic
27,Synthetic Zone,Synthetic Area 12,SYN-X12,20.344097034774887,85.78186963356455,Premonsoon,6.59,310.51,198.89,32.3,104.67,32.19,5.94,10.68,6.08,0.069,80.26,27.62,10.2,11.48,0.09,5.87,Synthetic
28,Synthetic Zone,Synthetic Area 13,SYN-X13,20.307220610911823,85.86084036408954,Premonsoon,7.33,413.51,264.85,50.86,117.93,33.2,8.48,29.57,6.53,0.179,98.4,46.28,18.86,19.09,0.082,7.05,Synthetic
29,Synthetic Zone,Synthetic Area 14,SYN-X14,20.359935735562473,85.8196686844583,Premonsoon,5.46,429.12,274.65,16.52,112.5,33.58,6.94,27.7,6.85,0.307,114.13,46.19,13.52,24.26,0.046,6.47,Synthetic
30,Synthetic Zone,Synthetic Area 15,SYN-X15,20.326803672254403,85.78963192794254,Premonsoon,6.5,406.05,259.54,29.22,110.5,31.98,7.35,28.84,6.37,0.241,102.46,45.05,13.94,18.24,0.029,5.88,Synthetic
31,Synthetic Zone,Synthetic Area 16,SYN-X16,20.36457939594703,85.79609570347166,Premonsoon,4.57,408.97,261.58,2.0,114.18,34.0,7.13,32.32,4.25,0.405,97.06,40.3,12.66,32.33,0.043,5.92,Synthetic
32,Synthetic Zone,Synthetic Area 17,SYN-X17,20.359735710746843,85.83789319823256,Premonsoon,5.6,460.42,294.66,19.85,122.3,35.15,8.49,26.19,9.84,0.371,102.2,47.95,27.22,37.8,0.049,5.42,Synthetic
33,Synthetic Zone,Synthetic Area 18,SYN-X18,20.326236212821218,85.82419738443498,Premonsoon,4.95,413.98,264.81,13.37,115.66,32.9,8.17,29.27,6.95,0.33,104.98,40.02,10.18,29.17,0.05,5.94,Synthetic
34,Synthetic Zone,Synthetic Area 19,SYN-X19,20.288529514505107,85.79058133653388,Premonsoon,6.19,384.99,246.48,20.11,117.38,33.06,8.44,24.01,6.74,0.298,101.62,31.35,21.58,11.1,0.048,7.05,Synthetic
35,Synthetic Zone,Synthetic Area 20,SYN-X20,20.28751115424035,85.79157235954776,Premonsoon,6.99,540.62,345.7,38.22,129.73,35.4,10.14,37.27,8.99,0.42,136.99,56.77,26.18,32.28,0.079,6.6,Synthetic
36,Synthetic Zone,Synthetic Area 21,SYN-X21,20.343420980690006,85.80794105925,Premonsoon,7.24,382.93,245.25,51.5,112.32,32.67,7.4,28.41,7.48,0.217,70.94,51.21,21.01,22.01,0.059,6.0,Synthetic
37,Synthetic Zone,Synthetic Area 22,SYN-X22,20.271246800989672,85.86983879634741,Premonsoon,4.89,388.45,248.51,15.48,110.92,33.84,6.45,29.53,5.84,0.273,73.96,48.81,7.18,36.52,0.033,5.44,Synthetic
38,Synthetic Zone,Synthetic Area 23,SYN-X23,20.353841121829674,85.86570376165285,Premonsoon,6.7,372.16,238.34,34.23,112.19,33.38,7.02,24.88,5.65,0.239,88.49,40.59,17.37,10.42,0.071,7.13,Synthetic
39,Synthetic Zone,Synthetic Area 24,SYN-X24,20.364953315597976,85.79031805825528,Premonsoon,7.67,502.43,321.28,54.43,123.61,34.13,9.36,38.26,8.56,0.323,100.03,64.5,23.48,29.9,0.059,6.84,Synthetic
40,Synthetic Zone,Synthetic Area 25,SYN-X25,20.305086735223597,85.84875238090373,Premonsoon,4.36,309.93,198.57,2.0,104.69,33.09,5.39,16.01,5.21,0.192,74.3,29.25,9.34,21.42,0.037,5.6,Synthetic
41,Synthetic Zone,Synthetic Area 26,SYN-X26,20.33506459513871,85.78831812396731,Premonsoon,6.52,420.19,268.86,36.1,118.08,34.51,7.74,31.84,7.02,0.37,74.75,55.66,28.39,28.04,0.05,5.16,Synthetic
42,Synthetic Zone,Synthetic Area 27,SYN-X27,20.347045845832394,85.79537259051699,Premonsoon,5.85,399.56,255.7,24.85,112.8,32.89,7.5,27.52,6.36,0.311,94.13,43.81,16.71,19.09,0.033,6.61,Synthetic
43,Synthetic Zone,Synthetic Area 28,SYN-X28,20.287844294815592,85.82662597562266,Premonsoon,4.65,422.1,270.19,5.35,114.42,34.95,6.75,24.1,7.63,0.401,91.62,46.22,19.38,31.18,0.031,6.19,Synthetic
44,Synthetic Zone,Synthetic Area 29,SYN-X29,20.324756526817502,85.83093715411711,Premonsoon,5.6,360.46,230.6,19.1,103.38,33.12,5.02,24.1,5.52,0.259,78.57,45.87,8.12,21.28,0.043,6.25,Synthetic
45,Synthetic Zone,Synthetic Area 30,SYN-X30,20.274611217073108,85.86067461959637,Premonsoon,4.99,490.63,313.74,22.59,113.39,34.57,6.64,35.77,7.92,0.428,101.17,70.93,15.75,41.71,0.037,4.87,Synthetic
46,Synthetic Zone,Synthetic Area 31,SYN-X31,20.292022537592203,85.78588002546161,Premonsoon,4.29,383.46,245.24,2.0,111.42,33.4,6.82,24.7,6.32,0.34,103.14,31.72,6.85,30.01,0.016,5.93,Synthetic
47,Synthetic Zone,Synthetic Area 32,SYN-X32,20.354337341320228,85.8684936831563,Premonsoon,7.02,384.04,245.93,46.09,107.9,32.69,6.3,29.48,4.58,0.25,90.0,53.84,13.64,6.38,0.07,7.33,Synthetic
48,Synthetic Zone,Synthetic Area 33,SYN-X33,20.351675295059877,85.85388014080581,Premonsoon,5.88,456.31,291.46,32.15,113.32,34.51,6.55,36.56,7.68,0.331,93.0,64.44,8.42,44.73,0.06,4.16,Synthetic
49,Synthetic Zone,Synthetic Area 34,SYN-X34,20.330986731397232,85.82801427039423,Premonsoon,7.58,436.46,279.34,51.37,114.98,33.37,7.66,28.44,8.82,0.272,82.71,56.93,24.72,25.74,0.073,6.46,Synthetic
50,Synthetic Zone,Synthetic Area 35,SYN-X35,20.274161209324472,85.81377385464039,Premonsoon,6.59,367.77,235.65,39.25,109.66,32.67,6.77,28.34,5.18,0.211,78.6,45.56,12.16,14.34,0.056,7.6,Synthetic
1,Population Density,Acharya Vihar (Syn),SYN-PD-1,20.29637043979522,85.82317582823164,Monsoon,7.06,525.4,340.18,126.55,129.02,42.01,8.01,35.45,7.97,0.426,60.38,129.6,10.07,9.84,0.035,4.65,Synthetic
2,Population Density,Ram Mandir (Syn),SYN-PD-2,20.277204019578107,85.84526052673927,Monsoon,5.91,671.98,437.74,143.41,93.39,50.4,11.31,52.18,9.7,0.38,234.05,63.87,13.25,9.6,0.038,4.39,Synthetic
3,Population Density,Sailashree Vihar (Syn),SYN-PD-3,20.340316951697634,85.81289957134956,Monsoon,6.29,667.52,436.3,104.94,83.22,56.7,7.9,46.95,10.69,0.432,122.27,137.04,9.02,42.24,0.01,2.7,Synthetic
4,Population Density,OMFED Square (Syn),SYN-PD-4,20.320194498932192,85.82991895106169,Monsoon,6.29,707.77,457.65,240.99,26.05,65.8,14.44,56.77,7.28,0.026,111.19,115.53,28.58,16.89,0.14,5.15,Synthetic
5,Population Density,Old Town Bhubaneswar (Syn),SYN-PD-5,20.227440743347962,85.84285509876031,Monsoon,6.05,557.6,360.39,85.51,87.71,29.25,7.44,57.07,15.14,0.171,139.34,39.82,8.86,44.56,0.089,7.31,Synthetic
6,Industrial areas,Mancheswar Industrial Estate (Syn),SYN-IA-1,20.307840842765913,85.8497492948313,Monsoon,6.32,549.05,357.51,25.41,123.43,34.63,7.94,49.86,13.9,0.479,175.3,61.33,7.84,1.48,0.1,4.89,Synthetic
7,Industrial areas,Chandaka Industrial Estate (Syn),SYN-IA-2,20.350972551241508,85.81067008030863,Monsoon,6.6,620.65,399.94,215.9,31.47,51.0,12.33,32.53,18.4,0.314,64.74,124.25,32.34,28.25,0.197,8.09,Synthetic
8,Industrial areas,OMFED Industries (Syn),SYN-IA-3,20.332886543933725,85.81816382296324,Monsoon,6.84,604.63,393.0,251.34,97.95,46.97,12.24,26.09,25.53,0.502,108.04,107.38,24.44,10.68,0.07,6.63,Synthetic
9,Industrial areas,Rasulgarh (Syn),SYN-IA-4,20.29227362874352,85.87337574517811,Monsoon,6.19,745.89,483.39,160.56,54.57,55.13,13.9,73.32,6.45,0.189,219.36,61.86,17.31,30.45,0.066,4.89,Synthetic
10,Industrial areas,Anmol Industries Dabua (Syn),SYN-IA-5,20.35780359114047,85.75994682250486,Monsoon,5.94,584.16,379.72,133.2,76.79,53.06,9.49,50.77,1.77,0.278,87.33,116.71,18.59,14.7,0.036,4.3,Synthetic
11,"Dumping 
Yard",Bhuasuni Temple Area (Syn),SYN-DY-1,20.384263521769086,85.79496463820118,Monsoon,5.52,681.43,440.85,118.02,133.86,45.79,10.31,80.19,9.77,0.261,150.37,85.22,21.44,6.59,0.055,4.77,Synthetic
12,"Dumping 
Yard",Lingaraj Railway Station (Syn),SYN-DY-2,20.239744011470197,85.8360730950629,Monsoon,5.59,767.92,500.52,117.03,86.44,56.95,11.82,72.7,15.73,0.26,224.58,69.96,16.5,19.68,0.01,4.83,Synthetic
13,"Dumping 
Yard","BMC Micro 
Composting (Syn)",SYN-DY-3,20.280407213533934,85.82824788752743,Monsoon,5.44,619.48,401.47,142.9,95.36,50.71,7.42,47.2,9.36,0.462,40.2,161.65,24.46,37.55,0.08,3.06,Synthetic
14,"Dumping 
Yard",Gadakan Road (Syn),SYN-DY-4,20.317458787091248,85.83204692802481,Monsoon,6.19,610.04,396.49,137.25,125.07,47.38,8.99,40.88,12.68,0.571,109.35,143.54,19.97,5.51,0.01,4.75,Synthetic
15,"Dumping 
Yard",Daruthenga (Syn),SYN-DY-5,20.385379255810626,85.80382909636897,Monsoon,5.62,611.62,395.9,275.27,52.95,48.7,16.6,46.3,11.06,0.416,57.85,145.13,41.21,0.5,0.14,6.06,Synthetic
16,Synthetic Zone,Synthetic Area 1,SYN-X1,20.352582981559635,85.84953501098686,Monsoon,5.92,698.66,456.94,158.15,61.63,62.71,14.02,51.22,3.33,0.331,197.93,100.11,15.48,0.5,0.01,4.85,Synthetic
17,Synthetic Zone,Synthetic Area 2,SYN-X2,20.34430726765866,85.83942702368093,Monsoon,6.65,626.01,405.5,136.1,76.0,54.02,11.17,39.14,3.81,0.292,165.47,92.28,12.41,3.41,0.124,5.14,Synthetic
18,Synthetic Zone,Synthetic Area 3,SYN-X3,20.29149121908993,85.8636480364039,Monsoon,6.11,638.61,412.69,99.86,10.94,46.38,13.33,48.04,17.18,0.415,106.21,93.49,29.39,30.26,0.328,5.55,Synthetic
19,Synthetic Zone,Synthetic Area 4,SYN-X4,20.332535764523914,85.82897259643137,Monsoon,6.07,473.23,307.68,2.0,47.58,19.43,5.7,52.68,8.61,0.416,166.38,27.85,1.0,52.98,0.174,4.77,Synthetic
20,Synthetic Zone,Synthetic Area 5,SYN-X5,20.276561480254678,85.81763408771397,Monsoon,5.92,514.77,335.41,53.08,43.41,30.41,7.16,39.39,22.03,0.516,70.05,95.96,18.5,58.02,0.12,5.52,Synthetic
21,Synthetic Zone,Synthetic Area 6,SYN-X6,20.311498360453523,85.8593848942856,Monsoon,5.67,614.14,397.51,55.38,85.58,46.57,6.42,61.46,5.66,0.335,101.05,115.16,18.18,38.27,0.09,4.35,Synthetic
22,Synthetic Zone,Synthetic Area 7,SYN-X7,20.32012735535211,85.81096858823037,Monsoon,5.74,557.71,359.6,2.0,83.32,35.71,2.93,68.4,11.22,0.201,151.58,35.63,12.73,48.77,0.187,5.25,Synthetic
